StoreCode,Date,TotalSales,TotalAmount
pBadJ,2107-03-29,4452,133560
DiAjh,2089-03-13,2256,164688
MGHhA,2056-01-14,6124,153100
rWKmx,2057-02-26,5716,194344
JuHHk,2083-10-06,7311,453282
gosJF,2110-12-14,5992,143808
wEXNf,2040-06-26,9159,833469
erENa,2070-02-04,7941,182643
KIYze,2110-03-19,4001,212053
ZITXO,2028-04-21,6950,41700
ukwKz,2060-06-12,7569,408726
fROpz,2078-11-15,3869,386900
SOpJC,2077-01-18,9938,556528
dEUJN,2026-12-17,7291,51037
SIymk,2096-06-16,4249,50988
dGlTK,2059-11-26,6341,120479
rKzml,2080-09-27,5217,172161
lbbAI,2048-04-05,5707,34242
DJjpR,2054-10-17,2086,143934
hejzM,2051-02-09,2548,135044
oZZEy,2098-08-16,3383,165767
HytDf,2064-09-16,6823,341150
ImKgR,2098-05-02,8764,701120
bzqhj,2053-06-09,8210,221670
JtNFm,2056-10-16,7271,683474
gIBGn,2054-09-03,3526,271502
BYHfs,2091-02-02,7078,212340
jSYfC,2084-07-22,5581,245564
XfDRz,2039-05-14,2132,208936
wuyow,2106-02-27,6153,369180
GhoWI,2063-12-16,8160,481440
LWALp,2121-05-10,2986,59720
kImZj,2061-04-28,8276,372420
xUZHW,2096-12-08,8981,736442
XHXCu,2104-08-30,2184,91728
LrRYP,2035-09-29,2802,106476
ZTCzx,2065-12-30,9650,96500
GaflA,2064-06-11,3265,101215
xXQVx,2035-05-13,3565,53475
yoPMM,2028-09-17,4498,436306
fnifp,2111-10-20,7319,190294
UBiHD,2022-03-29,9480,369720
pHkIy,2026-07-20,9573,574380
hAamr,2060-05-29,3869,297913
NGGPn,2052-07-19,6913,276520
PieYt,2070-07-18,8475,254250
BBviV,2051-06-10,2373,14238
WGIMR,2053-03-17,7094,78034
Fcoqj,2088-02-22,6746,532934
zxbcV,2027-09-26,4682,313694
aqXjv,2062-09-18,4597,386148
HwABJ,2097-01-20,5130,415530
pwxsm,2033-10-10,3709,174323
AxKjw,2102-05-31,9181,413145
KhQou,2074-01-30,8010,416520
FVLXv,2068-04-26,6812,374660
LzYQM,2081-07-14,7322,519862
eiFNn,2037-09-02,7464,738936
HTneU,2111-09-24,8331,366564
woWTU,2050-12-26,4179,96117
afDKH,2024-02-09,5870,287630
fXnQd,2033-12-01,7738,735110
nDWOq,2080-08-18,9921,406761
mgRkA,2077-12-31,5426,276726
rwALY,2109-06-06,5179,352172
bGjFI,2044-08-15,3757,308074
OjAxV,2058-02-04,5921,503285
pliSK,2111-11-20,4924,443160
dkzSF,2119-03-27,8427,674160
MuwFP,2090-02-24,6122,508126
cfFWu,2052-12-11,4077,293544
xfVbw,2121-05-24,3596,39556
xBRCe,2108-10-24,3561,110391
AiXGp,2106-08-26,8004,544272
