StoreCode,Date,TotalSales,TotalAmount
Pfnjx,2100-02-05,2948,35376
gnIxY,2044-01-17,5862,515856
eQsqH,2056-11-16,2721,117003
ekYdJ,2112-07-17,8903,249284
UqncH,2061-08-12,6696,455328
bHvQY,2115-01-29,8374,494066
ooFMl,2101-08-31,8832,415104
BHMMR,2049-04-23,6167,43169
iNHre,2097-10-01,6925,83100
vneIJ,2059-08-12,6936,284376
LtozY,2075-02-18,5101,132626
rDduE,2029-05-02,9366,786744
yfBSp,2055-09-01,3600,144000
hlorh,2024-08-08,5698,245014
hFHEe,2067-04-29,4402,140864
ueVpT,2077-02-17,4702,112848
kARRM,2021-06-03,6546,314208
HeRgG,2044-05-14,5931,480411
KtVeF,2021-08-16,4912,250512
TYMCc,2102-05-27,5826,471906
rPlyx,2063-05-02,6445,109565
RwoJX,2107-04-27,8947,322092
RnfWE,2064-09-05,4946,262138
dLNJC,2021-06-20,9951,477648
wRVSD,2066-12-05,6614,654786
naVXO,2039-03-09,7341,95433
Vhrir,2103-03-14,6327,234099
xnqgV,2022-04-16,2097,10485
UAlSz,2084-11-20,4857,160281
soSos,2043-10-10,6892,468656
pBadJ,2074-04-07,7081,191187
DiAjh,2079-03-24,6139,386757
MGHhA,2047-09-26,9255,379455
rWKmx,2047-08-13,3256,78144
JuHHk,2043-04-29,5868,557460
gosJF,2095-10-13,6519,567153
wEXNf,2069-09-28,6133,613300
erENa,2075-07-19,6634,99510
KIYze,2068-09-10,9791,479759
ZITXO,2027-03-05,7481,538632
ukwKz,2021-10-04,9562,420728
fROpz,2090-02-02,7990,519350
SOpJC,2118-10-26,2150,101050
dEUJN,2037-03-17,2855,219835
SIymk,2045-04-30,7635,53445
dGlTK,2083-03-02,2663,210377
rKzml,2042-09-06,6370,573300
lbbAI,2096-02-19,3727,18635
DJjpR,2043-09-13,2161,15127
hejzM,2120-10-17,5718,428850
oZZEy,2078-09-02,2076,64356
HytDf,2078-04-23,8012,536804
ImKgR,2055-05-11,2939,226303
bzqhj,2112-06-08,3016,102544
JtNFm,2100-11-04,3477,24339
gIBGn,2112-12-08,6844,554364
BYHfs,2064-04-24,6686,33430
jSYfC,2070-01-29,6000,564000
XfDRz,2046-10-05,4058,129856
wuyow,2111-01-05,3385,142170
GhoWI,2121-06-25,3456,297216
LWALp,2055-01-13,6139,221004
kImZj,2077-03-31,7806,554226
xUZHW,2095-02-07,9811,981100
XHXCu,2110-05-02,7331,51317
LrRYP,2112-05-14,2325,167400
ZTCzx,2032-06-23,9127,620636
GaflA,2072-08-20,8235,296460
xXQVx,2117-10-06,6291,371169
yoPMM,2045-07-06,4913,393040
fnifp,2115-04-24,9530,171540
UBiHD,2054-09-07,4205,117740
pHkIy,2114-09-30,6413,294998
hAamr,2098-04-13,4717,61321
NGGPn,2033-06-28,6302,277288
PieYt,2065-06-10,3933,51129
BBviV,2022-06-11,8601,335439
WGIMR,2054-09-26,3116,239932
Fcoqj,2121-08-17,5140,200460
zxbcV,2060-11-20,2571,95127
aqXjv,2111-03-07,5113,501074
HwABJ,2038-04-27,8245,387515
pwxsm,2117-11-13,6104,347928
AxKjw,2109-09-26,6385,561880
KhQou,2056-02-19,9973,149595
FVLXv,2067-04-25,7140,314160
LzYQM,2038-05-17,7085,297570
eiFNn,2100-05-05,4532,267388
HTneU,2101-04-17,6769,94766
woWTU,2062-10-06,3886,139896
afDKH,2111-04-22,8456,786408
fXnQd,2030-07-03,9682,232368
nDWOq,2066-05-24,3697,125698
mgRkA,2112-12-23,8790,536190
rwALY,2044-12-06,6189,228993
bGjFI,2034-07-01,7437,468531
OjAxV,2098-06-25,4960,272800
pliSK,2106-05-02,7769,652596
dkzSF,2090-10-21,4023,213219
MuwFP,2069-03-29,7680,514560
cfFWu,2071-10-25,2607,156420
xfVbw,2081-11-07,5460,404040
xBRCe,2101-12-14,9440,245440
AiXGp,2107-03-13,7251,181275
COxZZ,2059-12-20,5860,457080
DgDLy,2084-10-03,7867,393350
yqSqM,2119-09-05,5636,202896
KuELV,2121-11-02,7084,361284
LQmGM,2097-02-13,9244,175636
gMrrU,2075-06-06,8878,532680
yYKlJ,2084-06-17,4318,302260
vlExD,2110-05-15,5596,318972
unHPa,2116-12-27,7040,668800
Ijovy,2039-08-29,9294,399642
jPInm,2045-01-30,9971,59826
gkiUJ,2068-10-01,4446,133380
cSwhe,2111-10-01,3821,191050
zKGLk,2025-12-19,5400,135000
HRRep,2054-06-23,6414,365598
cAurE,2044-11-08,7555,219095
YhtWY,2052-02-19,9726,797532
eSItw,2118-02-22,7476,545748
flkSX,2062-04-13,4578,279258
ltOdM,2088-10-23,2749,164940
iwuQa,2101-05-15,8710,304850
KcZRO,2097-06-29,6612,257868
yGEPn,2106-12-24,9717,97170
ZPCiI,2045-06-01,8754,805368
clyey,2103-08-04,3083,33913
ptuHY,2041-08-14,2220,126540
DSLiG,2021-10-31,3642,273150
tkjTV,2059-12-05,2571,195396
jpOue,2022-09-14,2177,34832
gHtBk,2058-09-04,8950,751800
HaQbW,2074-06-26,3390,111870
lPFrF,2087-09-14,3375,226125
zNqnr,2049-05-28,8277,620775
oSLEf,2047-05-31,4580,178620
XOeGK,2079-03-07,9836,708192
MkhmR,2094-11-04,5985,119700
HDFVh,2040-07-23,3050,305000
bZNrv,2036-12-25,9521,66647
qqMRa,2043-10-31,3969,43659
yuPlp,2105-06-05,7735,409955
EgDVY,2045-02-22,9330,139950
oJRnH,2030-03-09,3912,117360
Ulvwf,2083-09-18,7102,504242
Zdkte,2084-12-15,6395,409280
vuCOP,2070-05-17,4593,91860
kLAcH,2063-08-14,7996,151924
XGhbO,2073-06-06,8334,208350
XQaHJ,2094-08-11,6066,448884
xHllz,2061-06-04,2470,121030
XEmIJ,2087-10-31,6053,393445
orpMr,2035-01-25,7609,654374
jyrvB,2087-03-14,2466,214542
DiWdM,2116-01-04,9438,434148
pJbdt,2038-10-06,9631,375609
aQesR,2057-01-01,5403,205314
yaVEF,2045-11-20,5612,117852
NRoJG,2097-05-12,4385,245560
aTfZz,2043-12-08,7023,505656
oWLEE,2114-05-24,6528,535296
yutoT,2068-10-12,6022,295078
dGvdC,2029-12-29,3953,31624
AYYHE,2088-09-10,9876,306156
Pqphe,2115-04-25,8460,372240
VZEKW,2048-02-11,2830,138670
WRVNv,2115-05-16,6073,595154
iHfaD,2036-08-14,8311,606703
alDAd,2058-07-09,6999,216969
flZxQ,2073-10-27,9061,670514
NoAhW,2043-03-09,9434,801890
MRUez,2036-06-12,4706,155298
jqVSB,2043-11-28,5657,248908
aEZLq,2092-09-27,7739,634598
jFHnp,2093-08-30,9808,568864
niuao,2045-09-19,9769,361453
uxoTY,2121-06-02,3698,18490
QfxWo,2120-07-12,9387,929313
AgdDr,2037-04-24,2098,157350
zDqyD,2076-06-10,9066,788742
DQdfx,2084-05-07,2899,31889
GrqPo,2060-05-24,5298,90066
eSTsG,2055-01-16,6405,352275
oqAWv,2026-03-08,5741,384647
TbVIw,2069-09-06,7977,558390
FCIWC,2065-09-23,2910,75660
wAqsT,2110-11-16,8607,129105
UmHsj,2073-10-08,4108,94484
aOMVv,2082-04-25,8405,109265
DgKsH,2089-03-23,8674,745964
XAQvR,2068-10-16,9781,459707
VMttA,2103-04-03,5504,363264
RMmcx,2107-03-18,2606,117270
fGpJo,2029-04-23,2282,43358
gQLfK,2021-02-05,2854,162678
NwOBS,2039-12-15,6534,294030
vpVkm,2119-11-30,3438,154710
BvaxX,2047-01-26,2669,160140
WkQEr,2054-02-17,5827,402063
NEJMD,2078-03-09,4781,353794
iWElQ,2085-05-29,8933,884367
uBeRU,2098-06-30,6779,637226
IGvms,2028-11-02,6068,503644
QtidG,2057-01-21,9527,876484
QAbBt,2065-05-19,5350,80250
GlqCH,2093-01-28,2933,43995
clIpF,2076-01-03,2014,177232
hgYlA,2105-08-23,5542,210596
GXuAF,2070-12-20,2198,136276
aTYKa,2100-12-01,7660,520880
jDKYr,2054-10-12,4034,274312
HpDxV,2059-07-13,5965,172985
yKFQJ,2058-06-09,2374,85464
mYRzy,2078-02-04,4121,412100
YbrVf,2118-04-25,7496,359808
OnxjQ,2028-06-14,6443,463896
TSqRr,2030-06-08,9626,404292
NDtjR,2068-01-08,9575,957500
kPsmd,2044-10-06,8769,648906
GeMWZ,2025-01-17,6479,213807
Dgwbu,2057-09-27,9204,414180
RJOUN,2106-08-04,5350,294250
KOOGk,2102-06-12,4050,32400
etwzA,2029-01-08,7634,412236
gkJwL,2049-03-29,5437,543700
TkCEQ,2117-01-17,6718,33590
mfVba,2041-06-02,5137,87329
iVjoX,2035-02-27,3663,307692
xNjcJ,2045-05-12,5353,139178
GQUGT,2030-05-25,7389,280782
YaHYp,2044-11-28,6253,556517
XPLIp,2042-12-13,3274,130960
KhXqf,2045-08-22,9539,944361
nBQnc,2044-10-16,8682,816108
TbFwW,2044-03-05,5838,572124
kNhde,2109-10-18,9534,886662
dhFID,2085-11-14,8121,259872
EZiaQ,2094-07-25,6798,666204
sLFmF,2117-12-28,9093,409185
toqFu,2098-08-16,8629,353789
PdveO,2023-02-26,5896,353760
BzZTV,2064-11-08,9216,893952
khBfg,2064-10-03,8911,481194
Brbyo,2050-02-26,9081,553941
hxCJQ,2118-11-08,3854,188846
PXenY,2091-10-01,4869,34083
cwtDX,2116-07-10,3379,270320
eUPbR,2044-06-11,9396,413424
WmlnQ,2036-05-10,5151,422382
kOlaN,2106-09-29,7693,500045
yrQct,2081-04-12,8271,297756
WJdpA,2066-01-09,9310,148960
fXWVR,2083-02-18,8404,529452
NMxTB,2094-10-08,5933,474640
pUtri,2080-10-17,7243,564954
wnZIE,2029-05-01,3413,232084
TgYFa,2097-10-17,6692,167300
aNprq,2093-04-13,4488,125664
FLcJk,2083-07-21,8281,140777
DsvRZ,2049-07-26,8675,190850
MUHIO,2100-09-03,4006,332498
PnQku,2073-03-15,7125,534375
auapI,2090-03-15,8266,264512
OgydP,2101-07-03,7819,344036
zFXxM,2050-09-04,6142,190402
zQzLp,2065-01-06,2973,23784
FIAJK,2102-06-25,4126,268190
fhhcY,2023-02-18,2537,235941
zghcv,2096-04-25,9558,774198
KIJls,2111-06-19,3363,67260
wdpvP,2055-03-06,5130,353970
fFXEw,2042-01-14,3208,70576
qYLhG,2040-10-09,4256,310688
VuEHV,2103-05-01,9891,850626
GlgRx,2065-05-29,4735,217810
nvdSW,2112-11-17,3012,78312
kOoCc,2035-08-24,4307,357481
UbVdI,2071-01-04,2793,111720
NssPe,2043-02-06,7674,606246
xFuoR,2119-09-26,2659,172835
DTMgX,2104-10-04,4344,390960
mlJlb,2059-01-07,6047,217692
ymBoG,2083-12-05,4188,251280
IaTIL,2053-09-29,9068,544080
RDRbk,2116-02-06,7344,462672
PEdzJ,2043-12-19,5032,417656
uvYKG,2059-05-23,9711,699192
kaKpY,2026-10-17,7499,337455
SeXAD,2069-07-13,3636,301788
QMmbL,2022-07-03,5993,521391
AGZKo,2104-01-17,2853,97002
TScRb,2036-09-28,8232,642096
KGAMJ,2069-01-30,5473,180609
JViUc,2030-05-16,4460,325580
KAhnw,2033-08-03,8894,675944
xhPHG,2027-06-01,5873,569681
ZSErb,2090-02-13,7084,262108
PuWMA,2071-07-27,7668,705456
IXpTk,2078-03-30,8270,777380
soqBT,2081-04-18,7218,245412
UYTSr,2083-02-05,5368,123464
cfLcc,2046-05-16,7616,205632
LCmQP,2042-06-23,6850,280850
zQebo,2079-02-05,8625,560625
hWvFA,2112-09-11,3682,66276
tqpRp,2093-01-29,8222,123330
hUecU,2060-01-30,3449,148307
wyZhm,2096-06-23,6031,114589
EOVmQ,2088-03-15,2648,13240
wdJWS,2074-07-23,4389,333564
vVlLg,2058-04-09,7514,165308
dvYIP,2061-05-04,8778,395010
EYsXj,2035-06-23,7383,406065
IJRUx,2060-03-29,5251,425331
BQvxj,2027-09-29,2372,83020
MZeaV,2048-11-27,4123,276241
GdwjX,2077-03-12,3232,109888
XzDRI,2078-05-28,9770,341950
SfoCb,2058-12-28,8993,656489
XHZpl,2118-08-23,8834,512372
qhGWw,2107-09-16,3232,235936
EyAMJ,2075-06-24,7765,77650
cOkai,2107-08-12,9528,666960
ErNKN,2063-10-10,6437,579330
LUZXk,2064-10-16,3591,118503
LCbTC,2094-12-23,4945,445050
aFBqj,2091-06-03,9733,87597
LgLtU,2100-09-28,8308,216008
SVJuK,2066-08-07,4193,335440
VgqlC,2040-09-03,5281,485852
lNIwZ,2031-08-08,4438,257404
nrDwj,2099-12-31,7272,690840
mTYLg,2075-01-12,7034,119578
kZqaY,2111-04-03,2621,175607
biUrp,2031-02-15,7328,666848
dySwt,2096-12-04,4245,212250
nXTSo,2040-11-24,7345,683085
NYJYP,2077-04-13,3093,77325
TdqRz,2083-01-12,8377,787438
DLuNM,2117-11-15,3770,113100
iOdxH,2098-08-01,7877,338711
gKrAl,2121-01-09,2394,148428
qjOML,2079-07-05,4249,161462
vzFzF,2062-12-04,3362,305942
IedHV,2065-02-08,7675,614000
eZrvP,2028-12-27,9981,439164
iflfM,2044-10-21,6765,615615
ylIMC,2121-04-30,8438,447214
VMeqN,2030-12-10,3275,124450
AwOZr,2099-05-09,6918,41508
SiIRG,2086-09-02,5722,417706
KMQJh,2081-12-30,4034,44374
ZkYJi,2070-06-16,4427,323171
QivYi,2054-08-30,9912,99120
jdRdI,2090-04-15,6868,611252
dlRPu,2035-07-19,8926,196372
AEzua,2079-04-24,7158,379374
udeoO,2111-01-01,7871,94452
tIbkH,2094-08-30,8621,189662
jnckU,2109-12-26,2165,201345
UqKHU,2033-07-13,4109,115052
fvvzF,2056-09-13,8460,296100
ubBvJ,2090-07-19,2352,206976
jcBKP,2103-08-29,6191,346696
MZufH,2094-10-05,6223,49784
leBWA,2032-12-19,3835,352820
