StoreCode,Date,TotalSales,TotalAmount
EZiaQ,2038-12-26,4358,78444
sLFmF,2071-02-04,8475,839025
toqFu,2043-11-21,8809,211416
PdveO,2121-11-11,5949,303399
BzZTV,2054-10-12,5838,577962
khBfg,2054-10-11,4636,97356
Brbyo,2039-09-17,7337,667667
hxCJQ,2076-01-16,3521,271117
PXenY,2060-03-24,9080,263320
cwtDX,2117-12-06,3195,233235
eUPbR,2059-06-03,2209,201019
WmlnQ,2061-03-22,5360,235840
kOlaN,2110-08-05,4522,266798
yrQct,2071-07-05,4967,168878
WJdpA,2052-08-15,6517,593047
fXWVR,2022-07-03,7053,705300
NMxTB,2063-03-30,6336,367488
pUtri,2087-12-16,2469,98760
wnZIE,2025-04-18,6661,146542
TgYFa,2079-09-16,4465,357200
aNprq,2055-10-12,9668,183692
FLcJk,2118-06-16,3273,124374
DsvRZ,2046-05-02,4460,191780
MUHIO,2040-05-01,7928,634240
PnQku,2039-10-28,7515,383265
auapI,2038-11-02,4421,70736
OgydP,2079-03-14,9769,78152
zFXxM,2026-01-22,4972,303292
zQzLp,2059-10-30,4287,364395
FIAJK,2069-07-16,4733,288713
fhhcY,2071-05-04,7561,725856
zghcv,2111-09-07,2521,15126
KIJls,2070-05-30,8866,328042
wdpvP,2077-09-18,3804,171180
fFXEw,2093-06-12,2141,100627
qYLhG,2080-03-01,6584,447712
VuEHV,2092-07-21,2439,80487
GlgRx,2074-09-13,6235,399040
nvdSW,2090-03-09,6703,341853
kOoCc,2105-07-09,7779,777900
UbVdI,2029-08-14,7755,248160
NssPe,2112-08-18,2906,75556
xFuoR,2116-02-14,9122,519954
DTMgX,2104-01-02,9554,812090
mlJlb,2061-01-28,3871,360003
ymBoG,2110-02-06,4977,487746
IaTIL,2069-08-05,6800,639200
RDRbk,2105-09-08,4671,200853
PEdzJ,2072-04-15,5272,94896
uvYKG,2108-07-19,8420,648340
kaKpY,2054-07-24,8483,475048
SeXAD,2081-07-24,4114,403172
QMmbL,2043-01-04,6562,518398
AGZKo,2033-08-15,8236,255316
TScRb,2090-10-13,8141,130256
KGAMJ,2053-12-13,4450,373800
JViUc,2058-07-12,9753,702216
KAhnw,2030-04-20,5852,368676
xhPHG,2046-02-15,2726,149930
ZSErb,2055-07-14,8612,645900
