StoreCode,Date,TotalSales,TotalAmount
xWhJf,2040-08-20,8535,836430
yGLBj,2118-03-18,8238,634326
dNYXo,2037-10-05,2309,166248
synBh,2035-06-11,8401,84010
hgXTv,2114-02-27,4571,155414
QscgK,2094-02-04,2622,81282
uDZNS,2046-05-03,3318,255486
gYdPd,2114-08-02,2083,60407
swMcN,2088-01-07,5951,541541
huOCi,2072-01-30,4034,185564
XKpkB,2097-01-31,8980,709420
IQIoQ,2114-07-28,5327,463449
Pqibt,2063-08-23,5244,68172
QLYru,2098-04-17,8392,201408
prNjp,2049-07-21,3001,183061
ywDgw,2070-11-04,6961,563841
EOuGi,2038-08-24,5395,528710
qGCvQ,2067-11-26,2009,180810
IwMFG,2064-02-08,2720,157760
RNCWl,2079-05-14,2880,115200
iufYB,2104-11-04,8299,157681
anlBU,2064-07-25,9094,245538
SPPBt,2041-07-11,8159,456904
uDaMI,2075-08-17,2146,203870
abUtW,2101-08-13,5026,155806
bceYY,2036-10-21,7473,141987
yIpfP,2077-05-09,2398,105512
iapZh,2051-07-06,4011,316869
xqxiX,2053-12-30,4147,29029
GpVwe,2075-08-29,7655,673640
TfCjo,2029-03-31,2867,129015
uSIuL,2091-04-29,5731,418363
DKhMG,2091-01-30,8412,134592
UMzIr,2036-12-13,5680,391920
JEcPe,2036-04-23,3780,196560
dHOWb,2037-02-23,4501,31507
MTtET,2111-05-05,9790,675510
cDvSm,2029-04-15,8592,506928
YqlzQ,2034-03-22,7076,523624
TIIHZ,2108-02-24,9237,711249
tQEig,2043-05-14,3637,298234
zEpHg,2094-11-20,5799,365337
EJFNk,2077-01-22,4852,228044
AvbxV,2108-07-31,4443,22215
HpTWl,2107-08-04,8659,813946
QCjmN,2064-04-11,9988,888932
tzeZO,2053-01-07,4263,349566
Kwcjp,2059-07-15,2083,39577
pcROx,2114-09-06,6857,596559
gAMtd,2047-09-09,8723,610610
VjKsx,2066-05-21,2777,44432
svunt,2029-09-19,8822,617540
YuwRT,2107-09-07,7698,569652
hPeiL,2022-10-15,8774,605406
uadTG,2071-07-07,3395,322525
CcTQy,2031-05-17,9999,169983
MfVCP,2096-10-20,7742,464520
gfSXb,2096-03-09,9887,79096
GPemI,2047-11-24,4136,347424
LohWj,2023-05-06,5719,120099
AlHDZ,2095-07-20,5576,262072
rykeP,2116-04-23,9817,618471
hAfge,2041-08-28,9638,877058
HMraQ,2102-11-06,3611,317768
eRGZG,2039-03-04,9673,164441
BzeNi,2076-08-22,3249,172197
dnagi,2082-04-15,8869,434581
JIrDE,2094-09-03,4464,415152
hYddv,2111-03-07,4287,360108
NvIxY,2071-04-03,7131,278109
geUiu,2038-12-16,6443,161075
vFTOt,2105-12-07,3404,34040
rLEAw,2102-08-20,8261,322179
jTOEa,2071-06-25,9432,811152
UufKk,2051-06-10,9346,65422
NaMdF,2106-06-02,4604,138120
vGgMR,2076-09-20,8121,511623
pqzjt,2021-05-16,3560,345320
qoWVi,2052-04-05,8226,493560
EzcZR,2102-09-07,7200,158400
XdLFb,2085-08-31,9247,471597
WqIEX,2050-07-06,4708,37664
KsXVw,2048-11-30,5888,447488
pQOhV,2047-02-14,5608,257968
sQwdy,2088-08-17,8131,479729
jaMrl,2061-06-04,7974,454518
GRjmN,2099-04-13,2522,128622
emfQE,2088-12-06,7231,310933
wRGlS,2057-05-21,2264,138104
YxXHJ,2076-04-30,4949,227654
JHBjS,2094-07-17,3818,118358
vyoFP,2034-03-23,2351,195133
cIism,2064-12-28,4531,45310
OSbey,2050-07-10,2114,158550
RLQox,2101-10-20,9094,291008
DLXXM,2022-11-12,7226,267362
oFMyv,2104-09-01,5177,315797
FMBqm,2117-11-21,5384,86144
RNPtE,2036-08-20,5764,455356
zpakt,2093-06-17,3986,211258
NLIXr,2029-04-15,7664,352544
LWokn,2107-06-08,2292,224616
mEnMN,2081-09-03,5818,98906
jikCb,2053-12-08,8124,487440
hMhBO,2105-05-08,7010,567810
iPoPi,2026-12-23,4174,333920
dqwSi,2093-08-06,5257,515186
fQpRI,2021-03-09,9756,926820
PqbsG,2044-04-09,5116,71624
DTWMq,2031-03-18,5690,187770
gwbWS,2053-07-29,8544,666432
yaSLi,2024-06-29,4950,425700
NSXnP,2115-10-28,7168,444416
btuqq,2106-11-12,7434,126378
rGKjc,2039-06-04,6831,642114
AMajW,2111-10-31,5005,135135
zmeiH,2079-11-23,7655,497575
UodQV,2118-11-09,8159,660879
kFoXg,2076-02-27,9801,862488
aVuXr,2052-01-22,7602,38010
uCgMd,2091-06-02,8252,495120
hRuRL,2077-06-15,2151,197892
tBSGm,2069-02-07,5179,290024
QJNYu,2043-07-25,2407,117943
NUyOZ,2119-03-01,5497,434263
qSebG,2071-09-10,5435,516325
HXgiL,2092-05-14,3739,213123
dziKG,2047-08-19,7562,499092
xjIiO,2105-08-08,7709,385450
rpbLk,2084-06-19,4155,45705
DZcGC,2066-04-23,9944,765688
CRFfQ,2078-12-02,2439,46341
OiMKI,2066-08-03,8880,71040
BTAjc,2021-07-23,4803,389043
XXAjT,2120-10-25,9046,624174
IsNDn,2072-02-01,3786,56790
QaUMN,2060-03-31,5606,414844
wurcK,2055-08-01,4838,478962
kpmEp,2051-06-18,7238,94094
iyUdi,2094-04-29,3125,62500
TUqOz,2043-09-30,4668,130704
TQhEH,2099-09-13,2136,57672
vNjvh,2057-10-11,7064,678144
nCpCR,2057-07-30,2104,73640
OisEW,2087-10-09,2298,204522
rzWpv,2054-05-06,6566,308602
raUeR,2099-11-11,8720,383680
Nmidn,2105-06-11,6636,451248
TFkna,2046-02-10,7580,310780
fwNoW,2084-11-24,2993,167608
Pfnjx,2034-08-04,7946,691302
gnIxY,2113-12-03,9830,815890
eQsqH,2068-05-12,3909,97725
ekYdJ,2052-11-09,7368,427344
UqncH,2047-09-22,4049,80980
bHvQY,2093-03-14,5854,251722
ooFMl,2052-06-13,7448,707560
BHMMR,2118-03-03,2450,196000
iNHre,2021-08-11,8942,849490
vneIJ,2065-06-29,6913,228129
LtozY,2105-08-05,8629,638546
rDduE,2041-04-08,2282,219072
yfBSp,2033-09-21,8631,750897
hlorh,2092-10-27,8526,596820
hFHEe,2077-05-16,8863,257027
ueVpT,2039-05-31,4797,47970
kARRM,2105-11-24,6751,249787
HeRgG,2101-01-10,5277,511869
KtVeF,2058-05-10,4170,250200
TYMCc,2071-01-19,9080,726400
rPlyx,2062-10-02,8830,150110
RwoJX,2081-01-16,9999,709929
RnfWE,2073-04-18,2542,63550
dLNJC,2113-10-02,4778,86004
wRVSD,2061-01-26,4540,54480
naVXO,2095-03-13,6839,341950
Vhrir,2046-03-27,7409,88908
xnqgV,2061-11-24,3306,171912
UAlSz,2025-07-21,3288,263040
soSos,2094-08-27,9131,283061
pBadJ,2065-12-24,2689,137139
DiAjh,2101-01-29,6913,34565
MGHhA,2049-06-30,5404,383684
rWKmx,2021-09-12,5791,162148
JuHHk,2118-03-09,4929,487971
gosJF,2098-05-21,3077,116926
wEXNf,2111-03-21,9179,816931
erENa,2049-02-08,3206,80150
KIYze,2071-02-26,3593,291033
ZITXO,2119-02-05,3156,186204
ukwKz,2092-07-04,6312,561768
fROpz,2109-02-16,4290,248820
SOpJC,2038-06-08,2354,176550
dEUJN,2031-05-10,8980,278380
SIymk,2027-04-02,9532,133448
dGlTK,2065-11-01,3508,322736
rKzml,2039-09-07,5845,561120
lbbAI,2065-08-31,3875,124000
DJjpR,2086-10-23,5855,585500
hejzM,2031-03-29,6762,392196
oZZEy,2029-12-06,3325,209475
HytDf,2101-04-29,6700,53600
ImKgR,2073-01-23,6381,261621
bzqhj,2114-04-08,8328,682896
JtNFm,2063-10-19,7302,693690
gIBGn,2040-01-28,2456,208760
BYHfs,2040-02-02,2784,125280
jSYfC,2045-02-11,7998,191952
XfDRz,2070-04-29,3917,164514
wuyow,2107-10-08,4832,454208
GhoWI,2102-10-14,7598,501468
LWALp,2082-10-31,9541,248066
kImZj,2081-06-02,7983,239490
xUZHW,2079-01-27,3845,269150
XHXCu,2039-04-24,3673,66114
LrRYP,2055-05-07,4194,155178
ZTCzx,2104-09-10,2857,202847
GaflA,2069-03-14,4879,229313
xXQVx,2061-06-01,7993,295741
yoPMM,2078-09-05,4883,190437
fnifp,2108-03-02,6911,76021
UBiHD,2071-12-20,9376,900096
pHkIy,2068-08-25,9710,310720
hAamr,2109-06-07,6137,270028
NGGPn,2074-11-19,3909,234540
PieYt,2037-08-10,4364,109100
BBviV,2075-09-16,7921,784179
WGIMR,2050-04-01,6326,158150
Fcoqj,2043-09-30,3312,162288
zxbcV,2065-01-11,7348,161656
aqXjv,2064-10-18,3153,201792
HwABJ,2024-04-07,2564,66664
pwxsm,2119-07-04,6665,459885
AxKjw,2032-06-19,4764,209616
KhQou,2036-12-09,3958,79160
FVLXv,2024-04-04,4781,66934
LzYQM,2054-12-29,2626,259974
eiFNn,2085-04-28,7593,470766
HTneU,2086-09-22,4074,244440
woWTU,2061-06-12,5119,117737
afDKH,2093-07-01,7256,631272
fXnQd,2116-07-18,7827,727911
nDWOq,2098-11-26,3896,342848
mgRkA,2047-11-17,7975,438625
rwALY,2120-10-09,6815,231710
bGjFI,2092-05-22,7253,478698
OjAxV,2065-12-29,8902,71216
pliSK,2092-12-13,2566,161658
dkzSF,2042-08-26,4771,410306
MuwFP,2071-05-20,4810,351130
cfFWu,2052-04-19,9748,185212
xfVbw,2119-05-23,9795,97950
xBRCe,2105-11-15,9591,335685
AiXGp,2035-02-18,8275,256525
COxZZ,2101-06-16,6230,56070
DgDLy,2105-04-19,4310,370660
yqSqM,2060-02-03,8807,88070
KuELV,2078-04-06,5474,509082
LQmGM,2104-02-04,7603,372547
gMrrU,2096-05-01,2587,206960
yYKlJ,2023-01-15,7729,633778
vlExD,2067-04-15,6761,216352
unHPa,2053-02-01,8785,219625
Ijovy,2030-12-12,4678,233900
jPInm,2060-03-20,4540,276940
gkiUJ,2091-07-06,7718,123488
cSwhe,2022-10-27,4907,93233
zKGLk,2085-10-02,5516,507472
HRRep,2024-05-10,4038,189786
cAurE,2101-08-05,5310,79650
YhtWY,2072-06-29,3306,23142
eSItw,2040-09-27,7342,117472
flkSX,2119-01-26,3096,18576
ltOdM,2119-03-28,7202,151242
iwuQa,2071-12-26,5919,580062
KcZRO,2059-09-19,5245,99655
yGEPn,2033-12-30,9984,838656
ZPCiI,2039-06-12,7853,102089
clyey,2064-08-17,3873,356316
ptuHY,2031-03-05,8496,288864
DSLiG,2103-08-05,5023,45207
