StoreCode,Date,TotalSales,TotalAmount
BvaxX,2121-10-01,7850,604450
WkQEr,2079-08-25,8632,120848
NEJMD,2058-01-03,9848,669664
iWElQ,2115-06-28,7604,334576
uBeRU,2104-03-24,3751,183799
IGvms,2114-02-17,8256,165120
QtidG,2046-10-10,6495,597540
QAbBt,2045-07-11,2324,102256
GlqCH,2098-06-17,9291,678243
clIpF,2089-10-18,4951,292109
hgYlA,2033-02-24,2500,170000
GXuAF,2095-06-07,4975,74625
aTYKa,2064-01-19,3591,355509
jDKYr,2107-10-11,6668,540108
HpDxV,2023-01-24,5258,383834
yKFQJ,2077-01-17,8026,136442
mYRzy,2089-07-23,3980,310440
YbrVf,2029-06-22,9108,837936
OnxjQ,2063-05-12,9104,218496
TSqRr,2075-05-01,3289,98670
NDtjR,2114-02-26,3342,297438
kPsmd,2029-12-16,7816,156320
GeMWZ,2065-02-26,9685,639210
Dgwbu,2116-05-26,4828,255884
RJOUN,2092-10-10,7359,647592
KOOGk,2066-11-10,5885,164780
etwzA,2095-07-12,2409,77088
gkJwL,2092-06-01,2370,132720
TkCEQ,2055-01-15,5199,421119
mfVba,2028-12-26,8825,529500
iVjoX,2109-04-15,4715,273470
xNjcJ,2048-11-18,2180,156960
GQUGT,2100-01-10,8181,548127
YaHYp,2053-02-02,4207,366009
XPLIp,2105-09-28,7335,667485
KhXqf,2096-08-04,8659,779310
nBQnc,2081-10-31,9888,138432
TbFwW,2061-07-24,2067,72345
kNhde,2024-10-28,4925,398925
dhFID,2074-12-29,8633,561145
EZiaQ,2049-02-11,5202,442170
sLFmF,2038-03-09,2952,47232
toqFu,2068-03-27,4453,155855
PdveO,2047-05-07,8089,161780
BzZTV,2026-01-03,8067,588891
khBfg,2033-06-20,5683,238686
Brbyo,2042-06-21,6208,279360
hxCJQ,2065-09-17,7442,498614
PXenY,2067-11-18,4065,272355
cwtDX,2085-08-11,8061,701307
eUPbR,2068-01-11,8282,621150
WmlnQ,2094-01-15,2563,194788
kOlaN,2031-11-11,8962,179240
yrQct,2027-06-13,8700,130500
WJdpA,2056-11-27,2234,203294
fXWVR,2078-12-25,8035,739220
NMxTB,2050-09-14,6299,125980
pUtri,2082-12-03,5208,380184
wnZIE,2021-10-13,3023,296254
TgYFa,2073-07-17,4363,397033
aNprq,2035-02-09,8013,104169
FLcJk,2062-05-23,4027,249674
DsvRZ,2045-04-24,3480,327120
MUHIO,2071-10-12,9833,521149
PnQku,2025-09-27,4811,461856
auapI,2040-05-15,4402,268522
OgydP,2057-02-24,9205,579915
zFXxM,2060-07-12,8091,671553
zQzLp,2029-08-08,8851,584166
FIAJK,2022-12-22,8546,111098
fhhcY,2021-02-12,6365,31825
zghcv,2101-12-03,4586,417326
KIJls,2117-12-24,6373,108341
wdpvP,2063-12-31,3375,276750
fFXEw,2092-09-23,4365,196425
