StoreCode,Date,TotalSales,TotalAmount
XzDRI,2092-06-13,3732,119424
SfoCb,2051-10-08,7542,316764
XHZpl,2026-12-30,9256,388752
qhGWw,2025-05-25,8527,639525
EyAMJ,2026-06-25,5283,417357
cOkai,2108-06-04,7398,310716
ErNKN,2041-08-01,3837,180339
LUZXk,2051-06-10,5046,40368
LCbTC,2062-07-24,5446,38122
aFBqj,2109-01-31,2369,97129
LgLtU,2033-05-05,6616,284488
SVJuK,2048-10-11,6967,195076
VgqlC,2057-08-20,8583,738138
lNIwZ,2041-01-15,2757,135093
nrDwj,2038-01-25,9245,277350
mTYLg,2040-07-03,3058,85624
kZqaY,2052-01-22,3349,174148
biUrp,2040-05-30,6486,551310
dySwt,2115-08-03,2185,111435
nXTSo,2039-08-07,9253,749493
NYJYP,2021-09-20,2657,114251
TdqRz,2111-01-23,6695,120510
DLuNM,2091-01-19,8763,560832
iOdxH,2092-12-08,9283,696225
gKrAl,2027-05-02,9955,59730
qjOML,2047-08-27,6151,196832
vzFzF,2024-12-14,6048,429408
IedHV,2023-10-20,4009,84189
eZrvP,2032-08-04,4633,407704
iflfM,2038-11-02,9745,916030
ylIMC,2034-05-27,5252,278356
VMeqN,2098-02-09,7110,469260
AwOZr,2023-05-24,5884,535444
SiIRG,2078-12-27,7764,333852
KMQJh,2029-04-28,7011,420660
ZkYJi,2058-09-04,7180,495420
QivYi,2028-06-20,9156,732480
jdRdI,2091-01-05,9093,500115
dlRPu,2100-08-29,3654,51156
AEzua,2108-02-08,4229,346778
udeoO,2121-02-26,5455,212745
tIbkH,2094-10-22,3419,181207
jnckU,2052-01-12,5088,117024
UqKHU,2069-04-30,3205,249990
fvvzF,2060-08-24,5305,403180
ubBvJ,2029-10-01,2718,119592
jcBKP,2118-12-27,7238,398090
MZufH,2042-02-13,4557,414687
leBWA,2032-06-10,9816,480984
FZkIh,2105-02-26,3534,314526
QcxGX,2046-07-16,2686,171904
OYDFS,2094-07-23,2711,37954
CWpDO,2113-02-24,9182,449918
yMpVe,2031-11-13,5777,254188
NHPBK,2047-08-16,3821,217797
BTfXS,2023-03-31,4795,167825
GYwgd,2061-03-04,9636,337260
SJHSM,2060-03-22,7981,191544
eaOwZ,2038-02-03,8555,333645
GegCn,2053-09-27,9073,907300
