StoreCode,Date,TotalSales,TotalAmount
Bxwxe,2071-09-02,2832,22656
aaCPZ,2041-03-19,3899,210546
BlIdp,2079-05-10,5554,499860
VBYtQ,2079-03-23,6389,191670
ZpOOw,2075-01-30,6277,345235
fRyHQ,2022-07-12,7536,633024
ttEre,2118-07-28,2884,28840
XfzNT,2073-07-14,9545,696785
KFoSd,2045-06-02,4438,39942
WTDQv,2067-06-28,2559,115155
MkNMD,2094-05-10,9736,97360
KBamU,2091-04-14,6970,480930
xViNc,2114-06-12,5181,362670
gKIyA,2091-09-30,4239,305208
OdkJD,2026-09-19,6963,355113
zxAJF,2109-12-15,8264,206600
Igdvq,2024-02-02,7985,534995
wiIhA,2045-02-14,2416,144960
FnFgI,2062-06-12,9948,895320
wJMYW,2056-02-06,3378,304020
mjplW,2067-05-18,6510,572880
eDTeH,2097-05-03,9278,668016
TIOBi,2046-12-25,9853,541915
xwKsc,2086-06-16,4633,319677
stMiO,2033-03-24,6184,197888
HawXD,2066-01-04,7556,211568
rfDaa,2022-04-19,6598,620212
OXAud,2026-07-08,9388,46940
lglks,2049-11-24,7113,92469
nTacC,2055-09-05,5345,459670
SeDoA,2113-05-25,2027,135809
TGccw,2040-10-02,5241,89097
XBWmR,2072-05-31,4977,69678
gykMD,2109-07-14,9302,595328
wEQqZ,2047-09-26,9220,562420
NyJnU,2106-08-23,5336,186760
DXhHc,2029-07-22,6803,299332
qDvAh,2027-07-12,8900,169100
nUTHk,2050-10-22,3306,168606
acGxm,2047-01-29,2545,190875
shnja,2081-07-04,2449,166532
KFUGw,2066-02-10,8212,295632
UDpYo,2103-01-22,5083,127075
LplpW,2116-09-18,7446,632910
aZUOR,2073-12-13,7653,191325
FWGHn,2044-05-05,2050,55350
LtwFp,2045-03-08,6166,425454
bRHtm,2067-11-10,4448,253536
MkghG,2087-07-24,9629,279241
Ikadb,2120-04-30,6800,204000
HZIVT,2027-06-17,8950,492250
WDVmp,2031-02-01,7815,125040
ozDIX,2121-02-04,3144,260952
qIDXq,2089-11-09,8849,265470
CTQfN,2068-01-30,9978,608658
QgAhx,2098-02-01,8741,332158
slAcJ,2059-07-02,9707,465936
vmrLU,2109-10-26,3610,119130
yTHEh,2106-08-06,9164,73312
lGoVa,2024-04-01,7947,484767
IRJuG,2112-06-06,9322,223728
psBFq,2053-05-09,3525,49350
VbuxQ,2048-07-16,4984,458528
uKndT,2034-12-24,8671,502918
fxCIy,2106-01-15,9335,718795
zGyGG,2098-05-27,9402,347874
uAkbh,2109-01-12,4263,123627
EwABN,2066-07-22,3033,81891
bxvtl,2025-12-02,3407,173757
mqxxj,2026-03-17,3161,18966
tsOJz,2069-03-11,4840,300080
GzhSX,2092-01-11,7190,359500
kvryu,2043-06-13,3166,28494
ZwgUp,2035-09-18,2145,160875
NUeWz,2059-01-22,3604,21624
vKyIK,2107-12-10,7471,134478
AmWQO,2046-04-20,9374,712424
fQyRo,2033-03-05,7138,456832
hjPHN,2111-11-24,8217,706662
POqse,2099-02-17,8471,135536
EVDgI,2056-01-24,7873,94476
IPcfn,2115-05-28,6305,88270
MeMGs,2100-06-08,3436,271444
jAhpX,2034-04-18,2786,172732
uGDff,2032-02-02,9596,863640
gOkdO,2080-02-26,4681,56172
jWIre,2042-11-23,5128,405112
fHpMI,2062-01-23,7067,494690
lVMVN,2103-01-11,4636,380152
GSRWU,2111-07-30,9224,451976
idOvW,2115-12-28,5465,185810
