StoreCode,Date,TotalSales,TotalAmount
uCgMd,2067-06-13,7107,426420
hRuRL,2086-07-27,6645,405345
tBSGm,2058-03-29,4993,314559
QJNYu,2047-04-05,8571,342840
NUyOZ,2111-01-12,9475,767475
qSebG,2088-10-21,3522,70440
HXgiL,2079-11-30,5576,256496
dziKG,2070-08-24,5151,211191
xjIiO,2042-03-26,8561,642075
rpbLk,2046-10-04,2142,190638
DZcGC,2059-02-15,6285,615930
CRFfQ,2090-12-01,4275,76950
OiMKI,2054-06-08,9313,577406
BTAjc,2111-02-18,9736,516008
XXAjT,2042-03-07,2727,160893
IsNDn,2114-09-03,5547,205239
QaUMN,2118-03-18,5344,470272
wurcK,2085-01-26,6669,313443
kpmEp,2062-01-01,4972,353012
iyUdi,2091-09-07,8871,532260
TUqOz,2115-03-07,6718,53744
TQhEH,2024-03-30,2180,119900
vNjvh,2093-06-27,7250,384250
nCpCR,2106-02-18,5857,368991
OisEW,2112-09-10,8752,297568
rzWpv,2053-12-14,3971,361361
raUeR,2037-11-11,2947,61887
Nmidn,2047-12-18,9191,330876
TFkna,2087-05-19,3042,149058
fwNoW,2088-11-03,9938,119256
Pfnjx,2097-06-09,3959,122729
gnIxY,2030-04-18,5414,124522
eQsqH,2087-09-19,8443,430593
ekYdJ,2072-07-08,4213,96899
UqncH,2083-06-22,4311,56043
bHvQY,2053-05-08,7661,107254
ooFMl,2114-11-14,3679,338468
BHMMR,2121-06-14,9265,768995
iNHre,2109-11-29,2650,209350
vneIJ,2083-03-24,5997,269865
LtozY,2050-04-30,8874,514692
rDduE,2121-01-12,4222,97106
yfBSp,2056-06-10,3365,148060
hlorh,2077-10-26,3604,266696
hFHEe,2036-09-08,9521,733117
ueVpT,2086-06-10,8829,282528
kARRM,2048-05-26,9488,616720
HeRgG,2045-05-28,4094,81880
KtVeF,2023-05-18,3557,345029
TYMCc,2102-09-22,6814,333886
rPlyx,2057-07-21,5978,484218
RwoJX,2029-10-01,7127,192429
RnfWE,2071-11-15,8383,519746
dLNJC,2068-01-31,9870,690900
wRVSD,2047-01-26,5968,244688
naVXO,2029-08-19,3087,30870
Vhrir,2054-11-28,2084,162552
xnqgV,2024-01-18,9136,539024
UAlSz,2084-01-20,7013,280520
soSos,2027-09-24,3241,22687
pBadJ,2052-12-08,9537,486387
DiAjh,2094-06-21,8674,754638
MGHhA,2111-07-06,3273,324027
rWKmx,2037-04-17,3669,220140
JuHHk,2028-02-14,7584,614304
gosJF,2061-10-25,7977,574344
wEXNf,2053-12-19,5794,52146
erENa,2078-08-16,8249,362956
KIYze,2101-10-13,7051,458315
ZITXO,2062-01-02,4564,410760
ukwKz,2049-04-04,3587,272612
fROpz,2064-01-22,3351,70371
SOpJC,2107-06-24,7095,617265
dEUJN,2110-03-04,2933,263970
SIymk,2047-01-03,5386,355476
dGlTK,2118-05-17,9020,829840
rKzml,2070-09-21,8236,214136
lbbAI,2106-02-05,6191,340505
DJjpR,2039-08-17,9880,721240
hejzM,2046-04-12,2696,59312
oZZEy,2076-02-17,7299,722601
HytDf,2106-07-14,7167,709533
ImKgR,2060-02-11,4653,218691
bzqhj,2053-06-26,9517,180823
JtNFm,2115-06-23,3017,24136
gIBGn,2030-09-19,2585,51700
BYHfs,2033-06-16,2505,90180
jSYfC,2121-08-09,8250,222750
XfDRz,2099-02-28,2994,194610
wuyow,2088-08-25,7389,532008
GhoWI,2081-07-31,3369,232461
LWALp,2033-05-07,4064,142240
kImZj,2089-08-30,4962,133974
xUZHW,2114-09-21,3147,119586
XHXCu,2101-04-23,3903,35127
LrRYP,2032-04-27,8273,372285
ZTCzx,2098-11-28,4727,373433
GaflA,2054-09-21,9476,312708
xXQVx,2053-07-10,9241,258748
yoPMM,2071-02-24,8110,373060
fnifp,2093-11-13,3582,75222
UBiHD,2085-09-12,8648,778320
pHkIy,2035-04-07,9408,225792
hAamr,2072-02-24,7700,53900
NGGPn,2027-02-12,4162,120698
PieYt,2107-07-29,9960,926280
BBviV,2102-11-04,2922,207462
WGIMR,2078-05-25,6867,583695
Fcoqj,2108-01-24,2133,206901
zxbcV,2046-11-22,6976,481344
aqXjv,2109-10-16,8410,185020
HwABJ,2110-06-22,5052,338484
pwxsm,2063-05-27,6015,126315
AxKjw,2057-11-02,8438,464090
KhQou,2097-10-10,2383,78639
FVLXv,2039-05-13,4590,436050
LzYQM,2099-09-24,2232,136152
eiFNn,2077-10-04,6839,157297
HTneU,2056-09-26,8200,688800
woWTU,2084-11-04,2974,240894
afDKH,2023-11-28,8437,523094
fXnQd,2036-01-29,5825,366975
nDWOq,2033-02-20,2356,221464
mgRkA,2095-09-11,7501,705094
rwALY,2084-06-02,9238,415710
bGjFI,2050-11-18,5510,347130
OjAxV,2072-03-20,7964,55748
pliSK,2037-02-12,5410,108200
dkzSF,2093-09-02,9142,566804
MuwFP,2111-04-10,6367,82771
cfFWu,2116-03-26,6516,123804
xfVbw,2080-12-27,2242,195054
xBRCe,2066-04-18,5086,350934
AiXGp,2121-06-18,7865,110110
COxZZ,2066-05-17,3024,241920
DgDLy,2026-08-16,4287,34296
yqSqM,2075-12-27,9595,268660
KuELV,2049-06-07,3920,35280
LQmGM,2092-08-30,4721,316307
gMrrU,2076-04-06,4063,20315
yYKlJ,2104-11-03,2702,270200
vlExD,2025-06-22,3516,228540
unHPa,2051-09-18,6298,560522
Ijovy,2095-05-29,9704,873360
jPInm,2098-07-16,9268,342916
gkiUJ,2096-12-10,3836,218652
cSwhe,2110-08-27,9620,442520
zKGLk,2046-06-09,2083,166640
HRRep,2025-03-20,2221,31094
cAurE,2086-05-24,4159,378469
YhtWY,2099-04-22,7083,354150
eSItw,2034-04-25,6439,489364
flkSX,2121-11-29,5063,359473
ltOdM,2050-05-28,3211,215137
iwuQa,2092-02-09,3160,47400
KcZRO,2102-07-17,5775,462000
yGEPn,2077-03-18,4000,360000
ZPCiI,2052-01-12,2307,34605
clyey,2074-09-02,9704,950992
ptuHY,2033-08-11,7497,479808
DSLiG,2042-02-22,3716,96616
tkjTV,2060-09-26,9385,656950
jpOue,2075-10-13,9477,170586
gHtBk,2052-10-18,8177,596921
HaQbW,2105-06-05,4280,282480
lPFrF,2031-11-03,2620,191260
zNqnr,2057-01-21,7571,52997
oSLEf,2036-02-13,4696,436728
XOeGK,2074-12-24,8416,597536
MkhmR,2042-04-26,3393,162864
HDFVh,2103-09-18,9268,324380
bZNrv,2044-07-08,2791,240026
qqMRa,2045-10-13,5017,491666
yuPlp,2069-05-11,7475,642850
EgDVY,2050-07-19,6776,33880
oJRnH,2062-12-10,3657,18285
Ulvwf,2097-06-08,3170,15850
Zdkte,2051-05-02,9275,74200
vuCOP,2035-03-04,6636,570696
kLAcH,2076-10-31,5191,72674
XGhbO,2038-02-06,8613,456489
XQaHJ,2035-09-10,2406,52932
xHllz,2102-02-03,4992,29952
XEmIJ,2096-03-20,6509,32545
orpMr,2061-07-07,6188,408408
jyrvB,2099-05-22,9826,176868
DiWdM,2038-02-21,7661,329423
pJbdt,2092-06-19,7961,326401
aQesR,2115-03-15,5015,65195
yaVEF,2067-04-13,3472,211792
NRoJG,2073-07-12,8009,568639
aTfZz,2027-01-02,5623,89968
oWLEE,2051-08-06,2806,260958
yutoT,2080-10-13,5426,450358
dGvdC,2062-09-29,9573,172314
AYYHE,2077-04-24,4090,224950
Pqphe,2073-05-01,8420,825160
VZEKW,2025-04-13,7360,272320
WRVNv,2049-08-16,8008,136136
iHfaD,2056-07-25,4988,104748
alDAd,2068-09-21,9497,930706
flZxQ,2026-11-01,7893,394650
NoAhW,2056-06-23,6691,254258
MRUez,2082-01-22,5434,228228
jqVSB,2101-12-19,5530,348390
aEZLq,2084-12-07,9048,732888
jFHnp,2053-05-05,7363,110445
niuao,2098-11-15,3188,162588
uxoTY,2059-07-28,2247,53928
QfxWo,2050-07-18,4657,93140
AgdDr,2084-05-13,9474,208428
zDqyD,2105-04-25,4080,102000
DQdfx,2027-11-23,4028,294044
GrqPo,2098-01-09,4401,189243
eSTsG,2055-06-08,2218,70976
oqAWv,2083-02-01,8472,762480
TbVIw,2098-04-27,5628,50652
FCIWC,2074-08-31,7081,594804
wAqsT,2099-05-26,8715,662340
UmHsj,2073-07-08,7470,425790
aOMVv,2050-07-18,3141,194742
DgKsH,2083-11-12,3460,176460
XAQvR,2117-09-16,3862,185376
VMttA,2108-08-18,2692,266508
RMmcx,2030-04-22,9536,219328
fGpJo,2055-06-03,4585,371385
gQLfK,2049-10-22,5772,98124
NwOBS,2026-01-21,3054,180186
vpVkm,2104-02-13,6080,291840
BvaxX,2084-02-15,4064,280416
WkQEr,2077-04-04,9839,698569
NEJMD,2109-08-24,7609,197834
iWElQ,2092-11-28,6817,647615
uBeRU,2078-09-25,3749,149960
IGvms,2072-04-26,6893,448045
QtidG,2026-12-29,4907,471072
QAbBt,2066-09-08,4693,197106
GlqCH,2027-10-24,3053,228975
clIpF,2022-11-23,8243,181346
hgYlA,2081-10-14,3743,82346
GXuAF,2087-07-04,5279,216439
aTYKa,2069-10-12,7630,76300
jDKYr,2099-10-15,6486,499422
HpDxV,2045-07-28,4502,238606
yKFQJ,2109-07-08,3236,304184
mYRzy,2118-11-25,8107,340494
YbrVf,2066-02-18,2286,25146
OnxjQ,2105-05-31,3313,109329
TSqRr,2095-10-08,8117,706179
NDtjR,2076-11-29,8979,296307
kPsmd,2115-06-09,5162,433608
GeMWZ,2057-01-07,5096,147784
Dgwbu,2075-09-24,8886,888600
RJOUN,2121-01-18,6933,41598
KOOGk,2054-08-30,5523,254058
etwzA,2048-03-12,7331,73310
gkJwL,2117-03-03,2743,233155
TkCEQ,2051-03-01,3300,23100
mfVba,2091-10-05,9237,692775
iVjoX,2049-08-14,2563,181973
xNjcJ,2071-04-03,4853,53383
GQUGT,2045-06-15,6379,408256
YaHYp,2091-09-13,5284,501980
XPLIp,2027-04-10,3080,277200
KhXqf,2112-11-30,9213,331668
nBQnc,2080-04-01,4891,127166
TbFwW,2068-08-17,3419,44447
kNhde,2090-10-24,7976,398800
dhFID,2102-03-21,4239,21195
EZiaQ,2036-09-18,4666,289292
sLFmF,2116-05-16,2516,148444
toqFu,2046-01-19,7566,680940
PdveO,2073-10-09,8117,495137
BzZTV,2087-03-30,5923,41461
khBfg,2057-10-01,6033,54297
Brbyo,2113-01-24,6103,42721
hxCJQ,2110-12-29,4102,20510
PXenY,2060-03-07,5463,180279
cwtDX,2049-12-02,4144,203056
eUPbR,2078-03-30,2412,120600
WmlnQ,2093-06-28,9505,323170
kOlaN,2036-04-02,5359,171488
yrQct,2108-10-18,2347,145514
WJdpA,2071-07-10,8678,624816
fXWVR,2047-05-07,5746,344760
NMxTB,2033-12-24,5482,356330
pUtri,2073-04-17,8313,407337
wnZIE,2090-02-24,4234,211700
TgYFa,2028-06-02,3590,254890
aNprq,2078-09-20,2700,18900
FLcJk,2067-05-13,6513,638274
DsvRZ,2086-08-03,6524,404488
MUHIO,2092-03-27,2886,118326
PnQku,2097-05-31,8105,494405
auapI,2121-11-15,2773,119239
OgydP,2076-10-19,5062,415084
zFXxM,2043-09-14,6161,203313
zQzLp,2057-08-03,5687,363968
FIAJK,2024-07-20,5205,239430
fhhcY,2056-11-23,4389,337953
zghcv,2115-05-25,5670,34020
KIJls,2021-09-15,6180,537660
wdpvP,2083-12-01,3952,241072
fFXEw,2064-06-12,3073,236621
qYLhG,2111-04-05,6956,243460
VuEHV,2051-08-25,8312,756392
GlgRx,2026-04-26,5063,415166
nvdSW,2053-05-22,9782,567356
kOoCc,2103-10-17,7207,641423
UbVdI,2118-12-06,5798,365274
NssPe,2093-06-22,8295,505995
xFuoR,2077-03-26,7309,635883
DTMgX,2078-06-17,8679,234333
mlJlb,2115-11-07,9891,474768
ymBoG,2080-05-03,6735,599415
IaTIL,2117-09-11,6872,130568
RDRbk,2079-10-07,8165,538890
PEdzJ,2057-03-23,2310,170940
uvYKG,2055-09-25,3773,135828
kaKpY,2117-08-26,2107,52675
SeXAD,2117-10-30,9468,833184
QMmbL,2095-02-21,2012,70420
AGZKo,2087-09-29,8647,458291
TScRb,2086-01-19,6298,50384
KGAMJ,2038-04-18,7264,254240
JViUc,2041-07-30,4864,330752
KAhnw,2060-03-02,8437,379665
xhPHG,2096-06-06,4961,34727
ZSErb,2113-07-11,5006,390468
PuWMA,2023-06-17,8302,290570
IXpTk,2042-07-03,9645,385800
soqBT,2097-08-12,6241,349496
UYTSr,2051-02-19,5027,432322
cfLcc,2095-07-05,8977,861792
LCmQP,2047-11-12,3576,250320
zQebo,2037-01-24,2967,163185
hWvFA,2024-12-07,3076,264536
tqpRp,2032-09-08,3466,211426
hUecU,2057-08-04,8982,341316
wyZhm,2038-02-27,3440,271760
EOVmQ,2042-07-31,9047,343786
wdJWS,2074-05-03,3481,153164
vVlLg,2024-10-09,4344,317112
dvYIP,2097-01-27,3369,111177
EYsXj,2057-02-16,2013,62403
IJRUx,2095-06-29,7378,184450
BQvxj,2091-02-19,5171,315431
MZeaV,2048-08-06,5536,71968
GdwjX,2080-06-19,6142,122840
XzDRI,2036-10-20,6245,224820
SfoCb,2055-02-24,9545,209990
XHZpl,2061-10-26,5265,168480
qhGWw,2051-02-10,2240,94080
EyAMJ,2067-04-06,2528,161792
cOkai,2107-06-17,4509,40581
ErNKN,2084-11-04,7454,596320
LUZXk,2103-06-10,9168,861792
LCbTC,2040-09-20,5384,463024
aFBqj,2058-01-29,6001,342057
LgLtU,2077-06-23,3212,144540
SVJuK,2050-05-19,4679,168444
VgqlC,2040-05-19,3511,49154
lNIwZ,2093-01-06,3626,72520
nrDwj,2097-04-26,2384,150192
mTYLg,2084-11-21,4413,101499
kZqaY,2077-05-02,3550,113600
biUrp,2065-11-06,7999,207974
dySwt,2069-11-27,2950,277300
nXTSo,2060-05-06,9986,219692
NYJYP,2030-04-04,6307,75684
TdqRz,2090-09-25,6939,562059
DLuNM,2097-12-31,3127,243906
iOdxH,2030-09-01,2645,153410
gKrAl,2121-08-25,9313,363207
qjOML,2084-11-22,4108,369720
vzFzF,2023-03-02,6910,310950
IedHV,2036-06-12,2567,164288
eZrvP,2053-01-11,4776,100296
iflfM,2096-03-27,7009,224288
ylIMC,2110-10-01,6374,548164
VMeqN,2103-09-20,2875,60375
AwOZr,2073-03-26,9179,624172
SiIRG,2090-05-04,3133,209911
KMQJh,2090-08-28,3111,220881
ZkYJi,2033-02-24,9713,738188
QivYi,2059-10-26,3868,382932
jdRdI,2025-09-06,7730,378770
dlRPu,2060-03-15,9725,671025
AEzua,2102-04-18,9769,713137
udeoO,2039-12-23,7570,416350
tIbkH,2071-09-14,4536,54432
jnckU,2029-10-16,5986,71832
UqKHU,2098-07-31,7063,374339
fvvzF,2093-12-10,2862,234684
ubBvJ,2104-01-23,6411,570579
jcBKP,2038-04-19,5086,66118
MZufH,2099-12-12,4558,278038
leBWA,2075-11-01,7666,38330
FZkIh,2081-03-30,5640,411720
QcxGX,2051-06-28,9411,150576
OYDFS,2060-11-29,7674,583224
CWpDO,2097-04-27,5323,505685
yMpVe,2109-02-10,8916,864852
NHPBK,2050-07-24,9086,581504
BTfXS,2114-04-15,7353,404415
GYwgd,2106-11-22,2098,65038
SJHSM,2047-07-23,8193,696405
eaOwZ,2069-07-01,3370,158390
GegCn,2107-06-26,5034,90612
CVdHm,2100-07-05,8061,403050
piDSU,2082-09-20,4219,299549
uHFdq,2066-09-07,3517,323564
