StoreCode,Date,TotalSales,TotalAmount
kLAcH,2107-02-05,6525,437175
XGhbO,2104-07-19,4841,479259
XQaHJ,2120-11-26,6628,185584
xHllz,2090-01-15,7423,660647
XEmIJ,2109-07-21,8228,394944
orpMr,2083-03-02,9991,679388
jyrvB,2104-01-05,9172,651212
DiWdM,2099-12-19,9527,142905
pJbdt,2100-08-24,4544,408960
aQesR,2032-10-20,4253,114831
yaVEF,2040-01-09,7827,172194
NRoJG,2061-05-13,5347,294085
aTfZz,2036-07-12,9335,364065
oWLEE,2103-07-24,3286,328600
yutoT,2028-07-20,6369,363033
dGvdC,2078-04-04,9246,157182
AYYHE,2091-12-12,3368,215552
Pqphe,2032-03-19,6279,521157
VZEKW,2081-07-07,5491,400843
WRVNv,2121-03-26,9385,769570
iHfaD,2025-09-04,6692,381444
alDAd,2110-12-25,3810,80010
flZxQ,2070-08-22,2810,61820
NoAhW,2054-03-03,7021,210630
MRUez,2039-02-19,8234,156446
jqVSB,2065-09-20,5813,383658
aEZLq,2021-09-25,8700,774300
jFHnp,2037-02-25,9416,593208
niuao,2024-10-25,2234,69254
uxoTY,2038-03-14,5835,490140
QfxWo,2060-07-23,3762,184338
AgdDr,2079-04-07,4797,249444
zDqyD,2057-08-21,3319,285434
DQdfx,2059-03-29,4880,78080
GrqPo,2085-03-14,3398,54368
eSTsG,2101-11-24,5666,152982
oqAWv,2086-05-13,2743,183781
TbVIw,2090-05-25,8186,270138
FCIWC,2081-07-27,3082,283544
wAqsT,2113-09-01,3530,317700
UmHsj,2089-08-21,9784,450064
aOMVv,2101-02-17,9714,670266
DgKsH,2111-02-13,3966,146742
XAQvR,2106-04-19,6219,31095
VMttA,2103-03-17,3498,325314
RMmcx,2065-10-17,4127,404446
fGpJo,2085-01-18,7557,408078
gQLfK,2073-09-24,2985,50745
NwOBS,2054-09-13,6405,320250
vpVkm,2047-06-18,8211,722568
BvaxX,2073-10-09,4898,342860
WkQEr,2101-01-01,8741,594388
NEJMD,2062-06-30,5914,544088
iWElQ,2063-12-25,2888,25992
uBeRU,2063-08-18,6732,100980
IGvms,2024-06-15,6013,186403
QtidG,2021-11-24,8111,713768
