StoreCode,Date,TotalSales,TotalAmount
NdXau,2089-09-26,9605,153680
eNHsM,2064-09-27,3953,312287
ntjoe,2115-04-26,7969,270946
uJhPn,2098-01-11,4828,284852
AXiBL,2078-11-24,6764,297616
CqZhn,2086-06-09,2576,79856
CYcPN,2078-10-22,2721,111561
DpXrY,2037-12-09,4893,298473
JZmGM,2048-03-03,4940,148200
NAqcA,2099-11-05,9874,246850
lTPEo,2096-11-23,2255,63140
sTXYe,2065-04-08,5016,90288
gsXOr,2053-12-25,9953,935582
YRwUE,2079-07-29,4462,53544
RHAuO,2054-02-07,4821,279618
INYMj,2072-02-11,8120,89320
qNgVE,2032-08-26,4584,187944
bPUCM,2105-01-26,9305,716485
NyHOc,2095-07-17,2422,79926
pwnlB,2079-05-01,6951,549129
jcBdh,2104-03-02,2103,63090
byOjC,2056-03-19,3343,327614
AaqJK,2072-02-07,3241,84266
tzcPa,2032-08-30,6399,428733
Hkqpu,2100-07-16,5236,439824
Iizvd,2037-05-21,3694,214252
RDqil,2039-03-20,6435,527670
uHVWC,2098-07-05,9789,665652
RJhmE,2097-05-14,9918,763686
XvqqP,2021-01-12,8458,236824
xWhJf,2049-01-29,5582,385158
yGLBj,2109-03-20,6159,511197
dNYXo,2051-01-26,7028,463848
synBh,2074-10-27,7057,536332
hgXTv,2048-05-27,7188,165324
QscgK,2103-11-30,4799,91181
uDZNS,2031-05-16,9871,424453
gYdPd,2043-01-30,3333,53328
swMcN,2117-08-16,4373,244888
huOCi,2087-06-27,4811,235739
XKpkB,2029-11-05,4316,189904
IQIoQ,2093-09-17,8798,668648
Pqibt,2023-03-05,6950,312750
QLYru,2097-01-24,5015,426275
prNjp,2110-01-11,2191,168707
ywDgw,2111-10-07,8636,716788
EOuGi,2109-03-08,2696,221072
qGCvQ,2062-05-18,6208,533888
IwMFG,2064-02-04,3808,186592
RNCWl,2027-01-28,7078,176950
iufYB,2039-10-29,2913,131085
anlBU,2077-07-01,3279,16395
SPPBt,2113-03-23,5236,193732
uDaMI,2069-03-01,9103,200266
abUtW,2027-12-08,7292,298972
bceYY,2095-07-10,2254,211876
yIpfP,2059-10-09,7479,680589
iapZh,2050-12-23,9003,738246
xqxiX,2121-08-23,8704,826880
GpVwe,2048-07-10,8056,306128
TfCjo,2066-01-01,7606,91272
uSIuL,2077-08-19,8159,212134
DKhMG,2061-01-15,8529,460566
UMzIr,2057-06-22,2539,154879
JEcPe,2024-01-13,5022,190836
dHOWb,2096-03-25,6143,497583
MTtET,2058-11-15,4263,221676
cDvSm,2055-02-17,5544,454608
YqlzQ,2107-06-10,7030,520220
TIIHZ,2107-12-25,6344,621712
tQEig,2038-12-31,9615,336525
zEpHg,2035-05-06,9747,653049
EJFNk,2044-05-02,3615,130140
AvbxV,2021-03-25,3838,38380
HpTWl,2115-05-22,5153,417393
QCjmN,2073-03-10,9518,323612
tzeZO,2117-11-06,7630,526470
Kwcjp,2108-06-30,3161,101152
pcROx,2089-12-05,6327,316350
gAMtd,2080-08-26,2181,185385
VjKsx,2094-12-31,6050,96800
svunt,2095-02-27,6404,89656
YuwRT,2035-04-21,7215,678210
hPeiL,2069-09-28,4044,60660
uadTG,2094-03-17,9874,276472
CcTQy,2062-07-13,8364,50184
MfVCP,2102-02-11,5991,383424
gfSXb,2032-12-31,5576,552024
GPemI,2024-08-08,7687,99931
LohWj,2028-01-06,5652,226080
AlHDZ,2027-08-03,7817,648811
rykeP,2042-03-03,6792,332808
hAfge,2117-10-16,3987,139545
HMraQ,2030-06-02,3383,54128
eRGZG,2111-04-09,2773,52687
BzeNi,2079-11-08,3406,190736
dnagi,2038-09-12,7562,173926
JIrDE,2120-07-28,8137,561453
hYddv,2094-09-15,2927,20489
NvIxY,2030-08-28,6100,396500
geUiu,2103-12-20,8920,570880
vFTOt,2094-04-17,2380,142800
rLEAw,2030-10-31,5343,379353
jTOEa,2106-08-12,9358,458542
UufKk,2061-08-12,9453,510462
NaMdF,2063-11-01,3129,178353
vGgMR,2103-05-16,2436,24360
pqzjt,2055-01-11,6870,377850
qoWVi,2105-09-03,4808,437528
EzcZR,2028-09-22,7317,563409
XdLFb,2075-07-22,3987,231246
WqIEX,2117-04-24,5086,356020
KsXVw,2043-12-25,9631,837897
pQOhV,2102-11-08,9570,344520
sQwdy,2059-05-11,6688,407968
jaMrl,2021-05-21,2171,39078
GRjmN,2117-09-23,5839,496315
emfQE,2056-06-16,9064,45320
wRGlS,2092-05-30,7215,64935
YxXHJ,2043-11-30,5118,163776
JHBjS,2047-06-26,7538,474894
vyoFP,2114-09-10,5580,217620
cIism,2044-03-03,2163,157899
OSbey,2034-12-30,5752,448656
RLQox,2082-10-26,6755,162120
DLXXM,2037-02-12,9318,55908
oFMyv,2094-08-09,5686,335474
FMBqm,2104-09-14,3857,134995
RNPtE,2032-01-12,3537,293571
zpakt,2026-09-01,6771,135420
NLIXr,2041-07-10,6857,630844
LWokn,2085-02-19,6725,215200
mEnMN,2050-03-16,3336,80064
jikCb,2052-08-20,2362,51964
hMhBO,2061-05-11,8423,682263
iPoPi,2024-12-18,3630,228690
dqwSi,2118-07-14,9390,281700
fQpRI,2066-01-24,2906,145300
PqbsG,2084-09-13,8833,856801
DTWMq,2040-01-25,7653,650505
gwbWS,2065-01-22,4976,199040
yaSLi,2115-12-12,4748,470052
NSXnP,2034-01-30,9226,341362
btuqq,2084-04-25,7832,321112
rGKjc,2080-08-09,4889,278673
AMajW,2073-04-09,3118,115366
zmeiH,2069-02-21,7494,666966
UodQV,2121-12-25,4642,139260
kFoXg,2060-03-30,5847,537924
aVuXr,2077-03-24,4597,220656
uCgMd,2061-07-23,3092,225716
hRuRL,2074-05-15,5464,142064
tBSGm,2085-01-15,3023,57437
QJNYu,2046-07-10,9008,351312
NUyOZ,2071-09-27,9059,688484
qSebG,2115-12-30,9503,779246
HXgiL,2056-12-04,8959,376278
dziKG,2091-01-29,7532,549836
xjIiO,2067-06-12,8153,73377
rpbLk,2037-09-12,3183,130503
DZcGC,2079-08-15,4566,264828
CRFfQ,2099-01-05,8132,788804
OiMKI,2040-08-19,7676,568024
BTAjc,2048-04-29,3229,187282
XXAjT,2031-07-08,5546,183018
IsNDn,2050-07-21,8904,516432
QaUMN,2112-12-25,5265,242190
wurcK,2034-06-20,5009,190342
kpmEp,2061-01-19,6594,547302
iyUdi,2064-10-13,8643,345720
TUqOz,2063-12-25,5685,295620
TQhEH,2094-08-22,5068,131768
vNjvh,2028-11-28,8759,604371
nCpCR,2109-05-10,7693,615440
OisEW,2031-08-26,5108,316696
rzWpv,2117-06-06,2230,109270
raUeR,2089-09-15,5242,136292
Nmidn,2072-08-25,5459,513146
TFkna,2039-04-02,2332,23320
fwNoW,2080-05-02,7149,314556
