StoreCode,Date,TotalSales,TotalAmount
yoPMM,2101-01-16,9573,469077
fnifp,2060-08-28,8033,232957
UBiHD,2076-08-25,6997,447808
pHkIy,2078-10-22,8398,655044
hAamr,2091-05-18,5950,529550
NGGPn,2024-01-23,2915,104940
PieYt,2113-12-19,4345,278080
BBviV,2045-08-17,3838,142006
WGIMR,2041-06-18,6101,341656
Fcoqj,2071-02-09,3079,200135
zxbcV,2097-11-17,8417,698611
aqXjv,2036-05-03,9535,162095
HwABJ,2047-01-27,3968,277760
pwxsm,2104-01-26,3117,224424
AxKjw,2037-12-31,9014,540840
KhQou,2022-11-02,5162,356178
FVLXv,2118-09-30,8099,445445
LzYQM,2061-03-12,7783,591508
eiFNn,2068-02-20,9962,219164
HTneU,2025-04-06,4920,319800
woWTU,2045-03-25,6159,461925
afDKH,2072-07-07,6371,159275
fXnQd,2054-04-08,4813,178081
nDWOq,2038-08-20,7084,70840
mgRkA,2104-03-08,3698,51772
rwALY,2074-06-24,5082,447216
bGjFI,2066-02-13,3909,211086
OjAxV,2046-07-15,6793,543440
pliSK,2087-02-23,3869,336603
dkzSF,2050-09-11,2902,130590
MuwFP,2093-06-21,8893,97823
cfFWu,2023-07-16,6436,360416
xfVbw,2021-01-10,3416,51240
xBRCe,2027-11-18,5113,439718
AiXGp,2073-02-26,3099,40287
COxZZ,2074-04-12,6134,466184
DgDLy,2028-02-16,5357,423203
yqSqM,2072-07-17,8493,721905
KuELV,2033-12-23,7327,666757
LQmGM,2062-10-11,9040,244080
gMrrU,2101-12-01,4208,176736
yYKlJ,2093-06-07,8638,457814
vlExD,2094-04-11,3222,248094
unHPa,2114-03-03,2415,200445
Ijovy,2074-06-14,2948,100232
jPInm,2039-03-15,5051,161632
gkiUJ,2092-02-08,7183,237039
cSwhe,2111-02-05,7778,93336
zKGLk,2068-03-28,3574,339530
HRRep,2073-12-03,3555,341280
cAurE,2093-06-06,2446,83164
YhtWY,2100-03-06,7981,119715
eSItw,2056-01-06,8111,332551
flkSX,2067-12-10,5214,474474
ltOdM,2022-06-23,9642,337470
iwuQa,2121-11-10,3691,25837
KcZRO,2050-07-25,9576,545832
yGEPn,2032-05-11,5666,226640
ZPCiI,2030-04-02,4051,109377
clyey,2038-04-28,5958,589842
ptuHY,2096-08-25,2140,68480
DSLiG,2062-06-25,6110,556010
tkjTV,2118-04-04,4435,57655
jpOue,2085-07-19,5446,261408
gHtBk,2087-10-30,6429,205728
HaQbW,2034-02-18,7961,294557
lPFrF,2121-10-04,2990,215280
zNqnr,2050-12-20,3329,43277
oSLEf,2099-07-26,8934,500304
XOeGK,2118-04-29,2960,168720
MkhmR,2041-12-21,3631,25417
HDFVh,2059-08-24,8404,361372
bZNrv,2031-05-24,5409,448947
qqMRa,2048-03-02,3044,36528
yuPlp,2114-11-04,3957,356130
EgDVY,2068-05-30,8114,170394
oJRnH,2049-02-14,6520,378160
Ulvwf,2079-08-05,8028,553932
Zdkte,2061-01-07,9449,850410
vuCOP,2030-12-07,3907,363351
kLAcH,2110-03-14,2206,105888
XGhbO,2028-01-11,3447,158562
XQaHJ,2120-06-06,6293,195083
xHllz,2048-01-18,7339,110085
XEmIJ,2114-04-21,4883,297863
orpMr,2107-07-21,8803,228878
jyrvB,2121-01-28,2351,30563
DiWdM,2045-11-09,5401,361867
pJbdt,2109-02-04,9175,192675
aQesR,2053-09-01,9754,380406
yaVEF,2070-06-17,7753,643499
NRoJG,2066-09-16,6650,658350
aTfZz,2064-05-28,4215,75870
oWLEE,2029-12-25,9167,641690
yutoT,2117-01-02,9177,220248
dGvdC,2078-09-05,7703,300417
AYYHE,2069-11-14,8808,431592
Pqphe,2072-12-09,3981,127392
VZEKW,2121-11-26,6750,148500
WRVNv,2100-04-22,3104,34144
iHfaD,2022-11-03,8075,331075
alDAd,2044-07-15,9944,248600
flZxQ,2023-01-05,7966,326606
NoAhW,2088-04-19,4530,253680
MRUez,2116-02-03,9792,117504
