StoreCode,Date,TotalSales,TotalAmount
UAeYW,2031-11-28,8980,772280
eyUEn,2042-02-02,4612,272108
PjnUz,2079-07-19,6059,193888
ODyWO,2034-01-15,3346,30114
VHTBY,2116-06-29,4217,189765
qfuvj,2099-05-25,5346,187110
GWKlk,2049-06-22,5952,416640
uDRja,2047-10-08,9900,960300
xncbm,2097-12-24,3869,112201
QqxEp,2083-06-13,3750,375000
QrNwO,2047-10-25,5055,126375
Sahxf,2074-09-22,6952,410168
oRlni,2076-11-13,8477,576436
pWhCP,2100-03-11,3724,260680
nYIib,2025-06-22,4302,94644
lDLzU,2073-05-30,7812,351540
HSBSH,2090-11-01,9815,372970
Amagt,2027-01-08,6756,175656
eZQuo,2035-07-01,8468,118552
oUUDg,2107-06-12,9445,302240
CbeQK,2053-11-29,9204,340548
ZBfsh,2093-12-09,8537,401239
FvhES,2028-01-06,5621,247324
ldomP,2080-03-12,8138,358072
QnFtv,2071-03-28,8430,792420
eQHIq,2089-04-14,2264,201496
rhihY,2119-03-26,5655,277095
ScgLy,2055-03-20,5177,191549
TxJsD,2087-11-17,7830,736020
XgfTL,2075-08-16,7047,641277
esjbO,2095-03-30,3858,219906
puVXA,2107-10-19,5650,565000
rEUwW,2033-12-14,3972,309816
hAomW,2025-09-13,6341,95115
HtCeM,2057-06-03,3879,58185
AhDNA,2097-06-05,8679,355839
KErsa,2074-12-29,3258,159642
bfbuU,2117-02-20,4626,383958
crBFQ,2061-06-30,5055,449895
mFdLN,2098-12-27,7272,458136
CVBrm,2094-11-25,5647,553406
qDQip,2101-04-26,7414,177936
KUxkt,2037-06-02,7750,449500
qQbgw,2121-09-26,3576,71520
FBeJv,2097-12-28,3853,131002
kJFpB,2067-05-25,4253,399782
glKdt,2059-07-15,4033,278277
Tocnf,2054-10-28,7921,158420
JcCWb,2060-02-13,9633,597246
pXHPq,2034-08-20,6312,347160
iRpPc,2113-10-20,6223,205359
CjhMA,2097-02-26,8840,857480
mwCWY,2105-01-16,7392,155232
BfPZz,2096-02-03,2323,153318
XAFCB,2080-10-31,2673,248589
hQLuY,2108-09-03,7130,149730
bKFVJ,2062-10-13,6362,394444
cCncM,2024-01-22,5689,534766
NmlOX,2023-03-26,3518,59806
Gmust,2056-05-11,2203,180646
Rxykd,2024-01-23,5961,71532
oWaGI,2050-12-28,7694,46164
RsycJ,2072-01-24,5071,334686
RLIcT,2041-01-30,5108,464828
xzYdQ,2080-05-10,6594,336294
vDyzg,2100-09-30,7393,428794
UlCVn,2111-08-11,5985,448875
FzEpU,2112-02-25,9391,741889
yBIot,2050-12-23,4068,325440
iyptw,2059-08-09,5802,278496
xutyH,2112-12-11,7614,45684
yJMiJ,2080-08-09,9179,844468
NDifr,2057-10-14,6311,612167
RLjJn,2048-02-21,2155,118525
ufPuW,2107-10-21,8307,456885
SLgwX,2045-09-23,9281,241306
