StoreCode,Date,TotalSales,TotalAmount
Vahai,2064-03-14,8201,73809
tXPLn,2117-01-29,5926,201484
ePGqv,2078-01-15,7868,338324
zCCRP,2086-09-18,5781,369984
hMOUE,2076-06-12,7752,379848
ntrCa,2066-11-28,9014,874358
GmWQr,2053-10-24,8702,643948
egwMA,2051-06-26,9804,372552
HaEgD,2121-09-18,6848,499904
xdCJc,2088-08-31,7367,456754
okJyN,2100-09-17,9284,222816
ThPsv,2099-02-10,2527,181944
VWPwm,2078-10-06,6655,246235
UdIGN,2048-07-09,9717,252642
rHBoM,2055-09-10,9519,352203
AjNQi,2055-01-20,2620,86460
nHGfU,2035-05-19,9664,241600
vwXuA,2064-12-06,3997,39970
ZJRDH,2027-04-07,8133,138261
KNnBR,2104-06-23,5993,89895
JubAv,2083-06-19,9766,292980
MJXcE,2085-12-21,2907,267444
lzuFZ,2031-02-18,6091,353278
NbkzT,2082-01-24,9001,162018
dbLLF,2115-12-08,4088,290248
CGXWX,2106-02-25,9568,248768
Lnbox,2111-09-05,8888,551056
OOCWw,2068-12-24,9006,648432
oJjpd,2117-06-01,8257,280738
gEHsH,2102-07-19,6758,47306
wzYak,2115-09-21,7477,373850
zgXpN,2033-05-15,2907,17442
oyfDZ,2039-07-09,6274,338796
OKaQl,2056-02-13,9005,630350
rNDTc,2110-10-19,3052,180068
vZRdZ,2115-04-28,5063,55693
PEvtn,2050-05-10,5534,398448
sYwQV,2041-10-25,9397,864524
KBwCt,2037-08-22,9899,524647
mPuGW,2039-10-05,5077,355390
yTBDy,2112-07-19,7065,494550
CueVE,2071-07-23,5683,556934
qkxue,2063-12-14,5580,401760
LYhDl,2060-05-20,8673,754551
gndlW,2057-09-04,2806,244122
Lmlko,2061-11-03,6980,572360
JWBfD,2112-12-30,3421,184734
bIJKs,2077-02-04,3635,276260
wqsBh,2044-02-08,6294,497226
UcLrz,2103-05-25,2083,193719
QOSbc,2042-07-10,4697,422730
sMqHg,2066-11-16,9371,187420
ehiBf,2031-03-12,7645,749210
ddZJd,2037-01-15,2872,120624
CrzOh,2060-06-26,2944,264960
RDaEM,2111-03-14,2237,176723
djmvH,2067-12-29,6260,175280
ndGUZ,2026-01-21,2793,203889
vOfCn,2066-05-23,5805,197370
BTaZB,2091-09-17,7834,164514
Bxwxe,2069-11-23,9265,704140
aaCPZ,2022-03-20,3701,74020
BlIdp,2079-07-05,7441,632485
VBYtQ,2022-02-28,7508,67572
ZpOOw,2051-05-27,6208,192448
fRyHQ,2094-10-05,4210,42100
ttEre,2079-05-06,4501,27006
XfzNT,2052-09-12,7380,295200
KFoSd,2083-02-16,9124,392332
WTDQv,2104-09-30,8565,68520
MkNMD,2107-01-01,3556,131572
KBamU,2106-07-01,2062,26806
xViNc,2047-01-13,4960,282720
gKIyA,2022-12-29,9713,699336
OdkJD,2042-05-09,2901,261090
