StoreCode,Date,TotalSales,TotalAmount
hgYlA,2101-07-04,6042,495444
GXuAF,2120-07-16,4976,144304
aTYKa,2103-08-16,3956,217580
jDKYr,2049-04-03,2896,37648
HpDxV,2121-01-03,9312,884640
yKFQJ,2060-04-13,6184,173152
mYRzy,2089-08-22,8532,733752
YbrVf,2057-04-20,6170,376370
OnxjQ,2051-04-21,3549,17745
TSqRr,2081-05-24,3462,242340
NDtjR,2025-07-14,6075,72900
kPsmd,2086-07-29,7465,656920
GeMWZ,2087-01-30,3055,293280
Dgwbu,2063-07-30,8531,528922
RJOUN,2080-11-12,4021,269407
KOOGk,2099-06-14,8015,641200
etwzA,2026-05-05,6567,610731
gkJwL,2121-03-02,8221,189083
TkCEQ,2043-01-04,9427,537339
mfVba,2105-06-14,6229,479633
iVjoX,2037-04-24,2553,38295
xNjcJ,2025-05-02,9608,182552
GQUGT,2121-12-28,9039,650808
YaHYp,2064-07-05,9452,103972
XPLIp,2071-08-12,5503,401719
KhXqf,2049-09-25,3630,90750
nBQnc,2038-06-11,7812,468720
TbFwW,2035-07-23,5100,459000
kNhde,2088-07-19,7361,647768
dhFID,2065-06-07,4385,70160
EZiaQ,2051-04-09,8208,590976
sLFmF,2095-09-09,7792,155840
toqFu,2067-05-22,8485,135760
PdveO,2050-06-12,6096,365760
BzZTV,2097-07-20,6915,331920
khBfg,2022-10-14,8262,669222
Brbyo,2056-06-12,5994,461538
hxCJQ,2025-12-19,6372,152928
PXenY,2065-06-26,4553,409770
cwtDX,2025-11-29,8719,209256
eUPbR,2065-02-27,7713,107982
WmlnQ,2114-11-27,5488,526848
kOlaN,2068-10-14,7590,531300
yrQct,2074-01-19,9707,650369
WJdpA,2071-08-16,2845,165010
fXWVR,2074-04-07,6355,616435
NMxTB,2052-05-14,3441,223665
pUtri,2034-10-18,5798,243516
wnZIE,2105-02-03,7683,699153
TgYFa,2065-11-24,3432,226512
aNprq,2096-09-05,2651,129899
FLcJk,2074-12-07,4381,232193
DsvRZ,2116-09-16,6524,195720
MUHIO,2087-07-11,9985,189715
PnQku,2054-09-21,2588,219980
auapI,2102-09-10,5773,265558
OgydP,2044-09-19,2033,130112
zFXxM,2105-05-17,8471,296485
zQzLp,2030-07-28,8181,760833
FIAJK,2052-06-24,8754,814122
fhhcY,2021-12-28,9927,536058
zghcv,2091-09-29,6036,108648
KIJls,2041-03-29,3817,232837
wdpvP,2067-06-27,5083,223652
fFXEw,2092-06-01,2543,81376
qYLhG,2107-07-05,8758,683124
VuEHV,2027-11-21,3839,188111
GlgRx,2116-01-10,8409,277497
nvdSW,2076-10-19,4293,364905
kOoCc,2035-01-02,2959,295900
UbVdI,2041-09-22,3136,263424
NssPe,2065-11-10,7811,515526
xFuoR,2058-07-05,9762,868818
DTMgX,2108-09-28,8080,404000
mlJlb,2081-02-12,7498,622334
ymBoG,2052-09-15,3451,89726
IaTIL,2060-02-17,8402,638552
RDRbk,2091-06-07,8363,602136
PEdzJ,2119-05-13,8041,530706
uvYKG,2087-11-01,8181,220887
kaKpY,2083-08-22,5765,230600
SeXAD,2027-04-22,8322,324558
QMmbL,2052-03-05,7112,604520
AGZKo,2113-05-03,4443,199935
TScRb,2073-01-12,6360,44520
KGAMJ,2083-04-07,7192,115072
JViUc,2068-12-19,6038,48304
KAhnw,2068-05-31,5622,208014
xhPHG,2058-08-18,6679,126901
ZSErb,2103-10-11,6838,635934
PuWMA,2077-01-28,8184,229152
IXpTk,2090-08-19,5371,392083
soqBT,2062-10-15,3804,19020
UYTSr,2096-04-16,4763,347699
cfLcc,2051-03-08,7617,106638
LCmQP,2061-04-22,8511,195753
zQebo,2121-05-24,3574,150108
hWvFA,2023-09-06,5984,137632
tqpRp,2035-10-09,7788,763224
hUecU,2114-02-21,8989,215736
