StoreCode,Date,TotalSales,TotalAmount
UbVdI,2111-02-16,2172,15204
NssPe,2099-09-06,4080,265200
xFuoR,2046-09-04,8588,575396
DTMgX,2029-10-02,8619,215475
mlJlb,2090-09-06,4097,163880
ymBoG,2083-03-09,5632,535040
IaTIL,2099-07-17,7796,343024
RDRbk,2021-05-07,4066,345610
PEdzJ,2037-10-29,9924,377112
uvYKG,2096-10-04,5050,55550
kaKpY,2066-03-07,2073,84993
SeXAD,2064-10-26,3525,260850
QMmbL,2026-08-05,6285,578220
AGZKo,2091-10-26,6035,374170
TScRb,2045-10-28,3779,332552
KGAMJ,2041-07-24,3500,315000
JViUc,2041-06-18,2596,210276
KAhnw,2036-01-16,3248,129920
xhPHG,2079-01-18,9747,321651
ZSErb,2043-06-17,4578,228900
PuWMA,2093-10-02,9003,234078
IXpTk,2115-09-06,2977,184574
soqBT,2089-08-29,2963,94816
UYTSr,2116-11-22,9318,717486
cfLcc,2089-03-06,3433,181949
LCmQP,2099-05-15,9752,546112
zQebo,2098-10-11,5440,70720
hWvFA,2082-07-19,4689,365742
tqpRp,2044-01-17,3839,303281
hUecU,2101-04-22,3734,67212
wyZhm,2093-03-10,6329,512649
EOVmQ,2062-07-19,8213,106769
wdJWS,2071-06-24,9905,832020
vVlLg,2119-03-05,7663,53641
dvYIP,2098-06-22,3435,343500
EYsXj,2037-04-25,6257,31285
IJRUx,2027-05-15,2714,84134
BQvxj,2102-09-08,8718,418464
MZeaV,2054-03-28,6894,523944
GdwjX,2115-06-05,2243,82991
XzDRI,2026-09-17,2756,181896
SfoCb,2061-08-24,9363,552417
XHZpl,2116-03-11,4361,161357
qhGWw,2097-05-21,2564,238452
EyAMJ,2048-11-27,6711,496614
cOkai,2053-12-10,2593,20744
ErNKN,2041-04-08,6742,364068
LUZXk,2080-01-23,4598,193116
LCbTC,2058-02-20,3834,199368
aFBqj,2067-04-25,2267,136020
LgLtU,2045-04-29,9423,197883
SVJuK,2030-09-18,8215,106795
VgqlC,2049-12-31,5258,273416
lNIwZ,2071-11-20,5683,454640
nrDwj,2037-11-12,7389,443340
mTYLg,2060-01-25,8875,798750
kZqaY,2102-02-11,9054,497970
biUrp,2081-10-18,2714,249688
dySwt,2100-09-07,4532,72512
nXTSo,2101-10-29,2069,190348
NYJYP,2061-01-18,3170,174350
TdqRz,2068-06-06,8537,460998
DLuNM,2096-05-10,7575,409050
iOdxH,2097-12-06,5963,59630
gKrAl,2083-12-25,9757,526878
qjOML,2106-04-23,4478,425410
vzFzF,2029-03-10,5347,96246
IedHV,2026-10-15,3175,269875
eZrvP,2022-07-02,8224,452320
iflfM,2080-06-25,9459,236475
ylIMC,2044-03-17,3240,178200
VMeqN,2087-07-03,8775,623025
AwOZr,2027-05-20,3786,280164
SiIRG,2052-05-24,4681,313627
KMQJh,2053-05-28,3773,241472
ZkYJi,2068-03-02,5656,277144
QivYi,2063-03-11,3357,281988
jdRdI,2038-06-21,5909,466811
dlRPu,2118-09-03,8654,623088
AEzua,2022-04-30,4313,388170
udeoO,2073-04-13,5071,192698
tIbkH,2034-10-22,5407,497444
jnckU,2028-10-14,9688,939736
UqKHU,2108-08-24,3993,179685
fvvzF,2108-12-10,3001,69023
ubBvJ,2087-07-14,8953,98483
jcBKP,2027-06-26,4769,467362
MZufH,2101-04-18,4242,33936
leBWA,2091-03-28,5467,38269
FZkIh,2046-07-22,4698,300672
QcxGX,2116-04-12,5756,518040
OYDFS,2037-09-21,9101,200222
CWpDO,2059-07-21,8046,482760
yMpVe,2061-05-03,4670,448320
NHPBK,2082-09-25,2489,241433
BTfXS,2069-03-26,2157,163932
GYwgd,2113-09-08,2435,14610
SJHSM,2058-03-18,8689,382316
eaOwZ,2047-10-18,9811,343385
GegCn,2104-07-07,5029,266537
CVdHm,2111-03-20,6089,371429
piDSU,2091-09-04,6431,199361
uHFdq,2093-02-21,4666,144646
VBvsZ,2076-03-13,9273,129822
OaonV,2102-01-17,2046,32736
WxCuC,2051-10-29,5354,508630
lrdmQ,2049-08-17,5670,85050
XDBOn,2094-07-14,2879,95007
zKiCg,2101-01-14,2104,151488
