StoreCode,Date,TotalSales,TotalAmount
yaVEF,2115-03-17,2591,116595
NRoJG,2023-11-25,6424,321200
aTfZz,2106-01-04,8071,702177
oWLEE,2084-02-26,3489,163983
yutoT,2121-02-05,7603,676667
dGvdC,2101-05-23,9029,487566
AYYHE,2071-03-05,2570,203030
Pqphe,2117-04-22,9143,402292
VZEKW,2119-06-22,4473,380205
WRVNv,2080-05-11,3331,239832
iHfaD,2023-09-16,5916,236640
alDAd,2022-02-07,6735,626355
flZxQ,2121-04-05,8867,771429
NoAhW,2047-03-09,6129,85806
MRUez,2058-07-25,3107,186420
jqVSB,2053-06-11,8303,348726
aEZLq,2045-04-16,3629,119757
jFHnp,2082-03-24,4369,401948
niuao,2038-03-11,8568,342720
uxoTY,2051-12-13,8526,375144
QfxWo,2108-01-13,8808,819144
AgdDr,2039-01-26,4702,32914
zDqyD,2071-12-25,3064,52088
DQdfx,2060-11-08,8843,840085
GrqPo,2083-10-30,5713,417049
eSTsG,2031-06-21,3980,206960
oqAWv,2064-03-07,6545,412335
TbVIw,2038-08-12,7979,95748
FCIWC,2046-05-27,5680,505520
wAqsT,2054-01-14,7197,518184
UmHsj,2108-12-30,7817,218876
aOMVv,2034-06-03,8238,337758
DgKsH,2100-06-19,6489,473697
XAQvR,2039-09-13,6175,426075
VMttA,2048-12-04,6575,433950
RMmcx,2091-08-06,5608,527152
fGpJo,2067-03-06,3319,205778
gQLfK,2080-07-19,2875,117875
NwOBS,2114-06-23,6301,573391
vpVkm,2071-01-26,2478,89208
BvaxX,2032-07-14,7764,582300
WkQEr,2056-11-16,9672,677040
NEJMD,2075-09-06,2099,201504
iWElQ,2065-07-27,4515,343140
uBeRU,2041-12-02,3559,199304
IGvms,2038-09-22,5443,195948
QtidG,2040-11-11,8301,406749
QAbBt,2030-01-14,5871,504906
GlqCH,2071-11-20,8778,667128
clIpF,2059-05-18,8034,690924
hgYlA,2056-10-31,7098,645918
GXuAF,2100-03-06,7682,145958
aTYKa,2079-02-14,9778,410676
jDKYr,2055-05-25,2210,103870
HpDxV,2118-03-13,9950,805950
yKFQJ,2084-11-21,3205,121790
mYRzy,2042-03-01,6793,523061
YbrVf,2078-11-17,6424,539616
OnxjQ,2105-02-22,8221,674122
TSqRr,2034-10-26,5646,423450
NDtjR,2047-09-05,6694,100410
kPsmd,2022-03-19,3343,110319
GeMWZ,2088-04-21,5342,245732
Dgwbu,2033-06-18,3089,120471
RJOUN,2023-01-28,3760,297040
KOOGk,2086-06-12,2732,191240
etwzA,2102-12-08,6599,481727
gkJwL,2030-01-29,9906,534924
TkCEQ,2091-10-24,2464,243936
mfVba,2063-04-16,8351,133616
iVjoX,2077-06-04,3402,241542
xNjcJ,2087-06-17,9124,666052
GQUGT,2098-05-28,7402,266472
YaHYp,2059-01-24,2054,43134
XPLIp,2059-07-09,7201,468065
KhXqf,2084-10-20,8043,490623
nBQnc,2051-09-13,5377,241965
TbFwW,2094-10-17,8932,678832
kNhde,2097-10-16,5839,402891
dhFID,2032-07-06,8534,691254
EZiaQ,2091-08-16,3074,175218
sLFmF,2060-07-03,3888,34992
toqFu,2085-10-23,3993,379335
PdveO,2027-08-14,7207,36035
BzZTV,2081-11-16,4921,319865
khBfg,2036-10-30,7550,347300
Brbyo,2121-03-28,8298,472986
