StoreCode,Date,TotalSales,TotalAmount
EVDgI,2039-09-21,6342,285390
IPcfn,2058-04-03,2805,162690
MeMGs,2021-01-13,5617,533615
jAhpX,2021-10-10,2081,104050
uGDff,2109-02-11,6680,387440
gOkdO,2119-12-11,4304,159248
jWIre,2102-09-11,5946,535140
fHpMI,2080-07-16,9439,528584
lVMVN,2107-09-21,5976,352584
GSRWU,2059-09-13,5124,122976
idOvW,2091-02-15,9952,636928
VWqbE,2034-01-01,6865,363845
vLmKV,2078-05-23,2153,174393
aWOOV,2042-03-15,2496,249600
kRrkx,2064-06-30,9408,65856
QkEUL,2077-12-02,7962,167202
uFpQH,2097-04-07,8164,359216
rkxtL,2035-03-21,8690,217250
talwS,2039-10-29,5826,396168
UaAMB,2068-05-09,9919,317408
UAeYW,2076-05-12,2241,181521
eyUEn,2021-12-05,2717,217360
PjnUz,2098-05-12,5783,156141
ODyWO,2109-07-21,9850,985000
VHTBY,2054-01-10,5795,423035
qfuvj,2108-02-07,6495,123405
GWKlk,2067-07-09,2927,190255
uDRja,2026-02-12,4671,238221
xncbm,2081-01-09,4522,144704
QqxEp,2055-06-22,8636,690880
QrNwO,2047-08-13,6564,459480
Sahxf,2096-01-27,4805,249860
oRlni,2098-10-20,7680,583680
pWhCP,2084-08-15,2305,18440
nYIib,2041-10-12,3457,38027
lDLzU,2076-09-02,4558,50138
HSBSH,2061-01-10,4607,391595
Amagt,2100-11-23,8583,660891
eZQuo,2110-12-04,7618,693238
oUUDg,2059-09-11,6016,186496
CbeQK,2106-02-19,2033,160607
ZBfsh,2081-04-24,8209,755228
FvhES,2058-02-10,8633,319421
ldomP,2048-08-15,4108,279344
QnFtv,2074-02-04,4665,275235
eQHIq,2058-05-26,5934,219558
rhihY,2093-06-23,2096,119472
ScgLy,2021-09-22,7962,342366
TxJsD,2052-09-02,5940,356400
XgfTL,2080-04-11,6531,195930
esjbO,2110-11-18,2957,156721
puVXA,2037-12-15,5388,366384
rEUwW,2049-07-22,7011,434682
hAomW,2074-03-07,7334,249356
HtCeM,2065-10-05,5943,178290
AhDNA,2115-04-30,5462,213018
KErsa,2028-04-28,7731,309240
bfbuU,2096-01-10,7073,275847
crBFQ,2073-08-19,7038,140760
mFdLN,2040-10-24,9793,656131
CVBrm,2089-05-15,2022,190068
qDQip,2082-10-26,8347,200328
KUxkt,2082-07-16,3204,89712
qQbgw,2077-07-21,5125,174250
FBeJv,2116-09-13,2374,97334
kJFpB,2092-10-27,4488,439824
glKdt,2028-11-10,5650,480250
Tocnf,2040-05-09,6583,552972
JcCWb,2030-01-02,2570,218450
pXHPq,2121-07-21,2496,14976
iRpPc,2025-11-13,9534,162078
CjhMA,2061-02-19,3724,327712
mwCWY,2070-08-03,4171,79249
BfPZz,2069-10-22,8171,612825
XAFCB,2118-05-30,5153,499841
hQLuY,2093-11-01,5006,115138
bKFVJ,2107-01-22,2871,143550
cCncM,2046-02-04,8809,792810
NmlOX,2093-06-03,3004,270360
Gmust,2082-12-30,3484,108004
Rxykd,2109-09-21,7380,324720
oWaGI,2112-11-15,8749,393705
RsycJ,2069-12-02,6863,398054
RLIcT,2072-06-25,7799,382151
xzYdQ,2118-09-27,9284,928400
vDyzg,2089-05-29,8583,291822
UlCVn,2113-11-05,6289,402496
FzEpU,2102-06-22,2715,173760
yBIot,2117-09-18,2958,263262
iyptw,2091-03-12,8359,208975
xutyH,2089-04-26,9014,333518
yJMiJ,2091-10-29,6259,419353
NDifr,2084-02-08,8557,616104
RLjJn,2077-08-29,7166,458624
ufPuW,2114-09-18,5758,408818
SLgwX,2034-09-24,7739,239909
NAEvs,2055-05-04,9159,870105
eABiL,2110-01-24,4281,385290
fQuLm,2109-05-24,6430,540120
ldnYd,2057-12-12,6189,389907
ltiCp,2035-05-30,7767,776700
HnpRj,2098-04-27,4600,59800
OTaJQ,2071-06-04,6000,558000
ISWmm,2078-12-22,7834,383866
DahmV,2105-02-28,8791,676907
nNdzJ,2042-12-29,7863,495369
blkyR,2050-09-11,9554,544578
WOYco,2037-04-18,7904,584896
pzkIS,2035-04-23,5641,191794
qeYBQ,2031-02-23,3595,165370
voZEK,2051-02-12,7336,256760
rpnBO,2088-07-21,9020,532180
ZVuTI,2022-02-18,6853,356356
BtlKJ,2022-04-29,2289,162519
RbQBt,2070-11-13,6909,573447
mZDVM,2032-01-22,6583,335733
SaNNh,2056-06-25,2890,57800
Ksnvj,2033-05-03,8839,309365
NlpJP,2119-03-08,7406,88872
qDBKc,2083-01-12,6603,640491
ELRhJ,2081-12-08,7858,361468
mZpJm,2113-07-15,9148,182960
Myijg,2043-10-01,8171,81710
HESXi,2108-05-13,6256,175168
zmKuF,2116-02-02,2822,104414
Zhwqx,2074-06-11,3489,132582
mrMBd,2099-09-14,5583,396393
gRnNs,2102-02-10,6165,499365
AEaYi,2118-08-17,8633,638842
auACm,2037-08-26,2836,232552
uxZcL,2081-09-19,7425,504900
LLHRI,2073-04-06,5139,354591
Gfuml,2081-03-15,2035,115995
xpWFE,2066-06-20,3684,33156
hzYwn,2042-03-21,7602,547344
asrDF,2031-11-15,2794,25146
WqXEo,2118-04-10,7772,730568
UzyND,2049-09-06,3539,38929
VfSTP,2119-08-31,6347,145981
KICbe,2061-12-11,8009,544612
arcPj,2032-04-23,9975,997500
xuXJD,2103-10-01,9957,398280
LncVn,2074-02-13,4339,342781
DpLms,2081-03-23,6081,377022
ukbYT,2071-07-10,7310,423980
LUaMu,2094-07-21,6176,500256
HlQhV,2027-04-30,5159,98021
xqytA,2101-08-24,2571,179970
yRrjt,2109-05-05,6994,517556
qnaRz,2093-06-19,5856,386496
bLEdL,2050-04-02,9440,830720
nBWsX,2097-08-01,7662,245184
YEDdv,2031-06-13,8837,609753
Huqaw,2028-01-05,5796,260820
VEMDU,2033-11-11,2584,237728
ScRaF,2064-03-16,7106,291346
IkEWb,2119-12-19,8861,239247
yUAkF,2028-08-19,5024,100480
vmMwF,2094-09-12,9774,684180
CxgDi,2115-10-25,6134,49072
EiFLE,2095-09-04,7083,354150
vebAI,2047-06-25,8955,402975
hjmEW,2082-10-14,6303,560967
XwqDz,2026-08-09,7720,679360
oTQNK,2091-06-14,9968,767536
yfCFT,2102-12-17,7646,435822
sqipH,2082-03-26,4313,60382
vKHum,2045-07-31,4834,314210
GJYlu,2107-12-16,5190,373680
XsQNB,2091-07-15,2128,123424
XyNYW,2090-07-14,3990,167580
KfNPE,2063-09-13,5750,350750
zWLjt,2102-04-22,2647,15882
LBZOO,2046-02-06,5674,453920
jBUyx,2057-08-12,8503,425150
BkcIO,2094-11-17,6732,269280
npohD,2069-02-25,6093,73116
oHlSy,2085-06-28,3019,205292
ORjNJ,2102-05-02,5167,434028
nMeRc,2027-08-26,3737,194324
KPZsa,2050-01-28,8497,93467
HjFMY,2071-12-16,8144,366480
ZfISm,2094-11-12,9285,185700
xdQSe,2069-07-09,2679,133950
WZjPt,2026-03-09,5951,166628
uJKMn,2118-02-07,3102,297792
ycZWf,2033-11-05,5267,489831
jzDgS,2047-05-25,3344,56848
ThCjH,2054-03-16,4261,89481
LHQkS,2038-07-04,6943,430466
sEorK,2111-07-15,5119,506781
mlKgn,2042-01-16,9384,253368
wywHO,2040-12-17,8436,801420
YBGmN,2071-07-04,4662,111888
jBTfn,2101-07-29,6911,228063
NxHAX,2087-01-23,2473,197840
BtXrB,2061-09-11,7927,507328
SIGvq,2099-10-16,8586,309096
YUuxM,2100-07-19,7426,452986
lIxwY,2059-07-01,9899,405859
WRTEU,2105-07-18,3888,81648
aYZse,2047-03-16,9554,487254
uGymu,2106-09-04,4559,159565
bdVkY,2055-01-22,5192,290752
xxxdQ,2121-09-12,4739,303296
TEoKF,2058-01-01,3460,31140
TqvHY,2074-05-07,6370,133770
YrCmK,2077-08-16,5669,56690
AyODv,2044-02-24,4314,103536
SLGvg,2079-06-14,2353,105885
xYRIJ,2036-02-22,8733,777237
mQdRc,2085-02-19,7686,453474
PTuRg,2051-03-25,2560,161280
sBYvZ,2047-06-16,7584,720480
obwvs,2109-02-28,8545,256350
FvafL,2065-08-08,2879,152587
Lophj,2083-02-04,4681,271498
kIGjc,2103-02-21,9810,127530
hzhfC,2054-07-14,5148,319176
VcTBw,2116-08-18,7875,252000
SJmMg,2067-11-21,9067,544020
eFaAS,2074-10-04,2501,145058
GAZpr,2104-01-18,4261,362185
RzlSK,2030-04-25,5636,163444
WxaxZ,2047-09-26,5412,395076
VwQUS,2032-11-04,7439,453779
wGTkG,2055-06-14,9014,703092
xhwRj,2040-04-14,2757,264672
SJElI,2112-08-18,8084,315276
KUzqX,2084-05-06,5380,107600
aPylH,2100-04-22,9223,728617
meNtD,2073-11-24,3010,141470
pIQTk,2062-06-02,8696,834816
ExDQm,2039-06-22,7768,178664
bXRMv,2038-12-27,2914,203980
yBnce,2103-07-19,4296,163248
scuvi,2076-12-23,9734,155744
pgqEq,2025-07-03,4023,108621
ytYLT,2094-09-24,7965,788535
LDiYP,2109-02-04,6460,639540
WKkXA,2109-10-12,8454,794676
ABviR,2102-04-07,3984,390432
hJegb,2107-05-20,8911,463372
HKTiq,2113-08-24,5065,91170
OHnow,2029-06-15,3766,372834
FlrAk,2112-02-23,6211,428559
RFgpa,2099-05-21,7329,161238
saQBN,2080-05-14,3515,214415
Jkjcg,2091-09-19,7186,79046
nPQjP,2089-05-22,9872,434368
NdXau,2097-05-10,7433,252722
eNHsM,2046-12-07,6931,568342
ntjoe,2064-05-17,3105,83835
uJhPn,2103-01-03,7853,47118
AXiBL,2064-06-06,5283,454338
CqZhn,2035-02-04,9337,690938
CYcPN,2068-06-18,4280,72760
DpXrY,2078-09-07,9062,480286
JZmGM,2028-01-08,4691,426881
NAqcA,2060-07-13,8673,442323
lTPEo,2083-05-23,9148,493992
sTXYe,2088-12-12,8590,755920
gsXOr,2050-07-30,7354,286806
YRwUE,2121-11-08,4493,381905
RHAuO,2100-12-25,6921,581364
INYMj,2023-03-19,8497,339880
qNgVE,2046-10-07,5778,138672
bPUCM,2097-12-12,6308,113544
NyHOc,2023-03-31,8352,233856
pwnlB,2043-02-14,4260,349320
jcBdh,2118-08-15,9703,67921
byOjC,2074-11-04,7050,289050
AaqJK,2037-10-11,6718,40308
tzcPa,2022-07-23,5481,186354
Hkqpu,2104-02-26,9406,103466
Iizvd,2056-07-07,8245,453475
RDqil,2056-03-18,6688,341088
uHVWC,2096-06-12,8807,730981
RJhmE,2106-05-31,8379,326781
XvqqP,2085-05-10,9913,584867
xWhJf,2121-05-31,2848,65504
yGLBj,2058-08-13,7935,714150
dNYXo,2071-08-12,6980,223360
synBh,2025-09-12,3964,103064
hgXTv,2121-04-07,4649,334728
QscgK,2098-06-23,7363,449143
uDZNS,2098-02-26,3433,326135
gYdPd,2098-08-04,9814,981400
swMcN,2026-08-22,4545,449955
huOCi,2031-09-14,4983,204303
XKpkB,2095-05-13,6288,465312
IQIoQ,2108-02-25,2512,236128
Pqibt,2121-12-17,2088,200448
QLYru,2094-01-16,3683,77343
prNjp,2074-07-09,8863,398835
ywDgw,2074-06-10,3104,189344
EOuGi,2029-08-04,5196,145488
qGCvQ,2045-07-12,5159,484946
IwMFG,2104-03-08,8201,73809
RNCWl,2054-01-25,5883,482406
iufYB,2090-01-12,9036,542160
anlBU,2098-06-09,9761,819924
SPPBt,2040-06-25,5999,137977
uDaMI,2066-04-06,4160,54080
abUtW,2062-09-13,9414,687222
bceYY,2090-04-27,6610,264400
yIpfP,2049-02-11,3475,24325
iapZh,2023-07-14,8248,280432
xqxiX,2043-01-29,5454,381780
GpVwe,2023-07-28,6440,64400
TfCjo,2084-12-18,8551,624223
uSIuL,2068-07-13,3460,280260
DKhMG,2045-01-19,2522,141232
UMzIr,2099-12-05,9622,67354
JEcPe,2053-01-08,2581,116145
dHOWb,2075-06-13,7293,379236
MTtET,2034-09-26,5665,237930
cDvSm,2066-08-15,9075,190575
YqlzQ,2092-07-13,2109,124431
TIIHZ,2096-01-08,5918,390588
tQEig,2087-09-06,2109,158175
zEpHg,2064-12-11,9177,100947
EJFNk,2023-12-03,8239,527296
AvbxV,2033-06-27,9584,872144
HpTWl,2086-06-29,8361,677241
QCjmN,2045-05-26,8795,237465
tzeZO,2054-08-17,4210,341010
Kwcjp,2095-01-19,3890,233400
pcROx,2115-03-03,8733,724839
gAMtd,2090-07-29,9018,883764
VjKsx,2075-09-24,7263,43578
svunt,2032-11-21,6333,481308
YuwRT,2119-07-20,3989,95736
hPeiL,2073-10-25,6084,371124
uadTG,2053-09-06,4584,320880
CcTQy,2065-01-18,4416,158976
MfVCP,2106-01-03,6348,114264
gfSXb,2102-10-15,2333,86321
GPemI,2118-06-08,7266,123522
LohWj,2112-09-13,8903,124642
AlHDZ,2102-11-20,7799,93588
